uid,time,ip,url,success,method,ua,ref,data
945,"2016-08-20 02:40:24",1.171.249.162,vip163mx01.mxmail.netease.com:25,0,CONNECT,,,
1202,"2016-08-24 22:47:49",1.171.249.233,vip163mx00.mxmail.netease.com:25,0,CONNECT,,,
2553,"2016-09-13 16:09:20",101.199.108.118,/d3/worldMap_timeline/style.css,0,GET,"Mozilla/5.0 (Linux; U; Android 5.0.2; zh-CN; Redmi Note 3 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 OPR/11.2.3.102637 Mobile Safari/537.36",http://120.76.195.65/cdc_zika.html,
2554,"2016-09-13 16:09:24",101.199.108.118,/cdc/zika/geo_report.vbs,1,GET,"Mozilla/5.0 (Linux; U; Android 5.0.2; zh-CN; Redmi Note 3 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 OPR/11.2.3.102637 Mobile Safari/537.36",http://120.76.195.65/cdc_zika.html,
2412,"2016-09-10 19:59:59",101.199.112.51,/mysql/load_more.vb,1,POST,"Mozilla/5.0 (Linux; U; Android 5.0.2; zh-CN; Redmi Note 3 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 OPR/11.2.3.102637 Mobile Safari/537.36",http://120.76.195.65/,"[""[page, 1]"",""[key, -1]""]"
1198,"2016-08-24 20:49:17",101.200.215.149,/manager/html,0,GET,"Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)",,
1509,"2016-08-29 22:19:21",101.200.215.149,/manager/html,0,GET,"Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)",,
1935,"2016-09-03 11:15:23",101.200.215.149,/manager/html,0,GET,"Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)",,
1499,"2016-08-29 15:15:27",101.200.78.64,/admin,0,GET,,,
1131,"2016-08-22 22:34:42",101.201.79.133,/phpmyadmin,0,GET,"Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)",http://120.76.195.65/phpmyadmin,
1133,"2016-08-23 01:09:42",101.201.79.133,/phpmyadmin,0,GET,"Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)",http://120.76.195.65/phpmyadmin,
1023,"2016-08-21 14:27:04",101.201.79.226,/,0,OPTIONS,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.0 Safari/537.36",,
1130,"2016-08-22 22:00:11",101.201.79.226,/phpmyadmin,0,GET,"Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)",http://120.76.195.65/phpmyadmin,
1132,"2016-08-22 23:19:03",101.201.79.226,/phpmyadmin,0,GET,"Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)",http://120.76.195.65/phpmyadmin,
2276,"2016-09-07 14:36:19",101.226.33.221,/about.html,0,GET,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36",,
1157,"2016-08-23 12:31:39",101.226.66.180,/views/news.vb?word=florida,1,GET,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36",,
1156,"2016-08-23 12:28:40",101.226.68.215,/views/news.vb?word=florida,1,GET,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8A293 Safari/6531.22.7",,
2590,"2016-09-13 16:17:30",101.227.131.246,/d3/worldMap_timeline/style.css,0,GET,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",http://120.76.195.65/cdc_zika.html,
2592,"2016-09-13 16:17:31",101.227.131.246,/cdc/zika/geo_report.vbs,1,GET,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",http://120.76.195.65/cdc_zika.html,
1904,"2016-09-02 05:11:40",104.216.4.237,http://104.216.4.237:8653/?rands=_681399347232249285635296,0,GET,"Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)",,
1773,"2016-09-01 01:01:55",104.223.226.162,/user/login,0,GET,"python-requests/2.7.0 CPython/2.7.8 Windows/2003Server",,
1774,"2016-09-01 01:02:47",104.223.226.162,/user/login,0,GET,"python-requests/2.7.0 CPython/2.7.8 Windows/2003Server",,
2286,"2016-09-07 14:39:06",106.120.160.109,/about.html,0,GET,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0)",http://120.76.195.65/about.html,
1748,"2016-08-31 13:37:37",106.186.18.111,/,0,OPTIONS,,,
1749,"2016-08-31 13:38:56",106.186.18.111,/Http/DataLayCfg.xml,0,GET,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",,
1752,"2016-08-31 13:38:57",106.186.18.111,/www/start.html,0,GET,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",,
1755,"2016-08-31 13:39:10",106.186.18.111,/jenkins,0,GET,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; 360-cn-agent)",,
1631,"2016-08-30 03:07:04",106.186.18.199,/,0,OPTIONS,,,
1632,"2016-08-30 03:07:09",106.186.18.199,/,0,OPTIONS,,,
1633,"2016-08-30 03:09:03",106.186.18.199,/RemoteControl.html,0,GET,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)",,
2409,"2016-09-10 19:58:13",106.38.63.131,/mysql/load_more.vb,1,POST,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",http://120.76.195.65/,"[""[page, 1]"",""[key, -1]""]"
2410,"2016-09-10 19:58:19",106.38.63.131,/d3/worldMap_timeline/style.css,0,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",http://120.76.195.65/cdc_zika.html,
2411,"2016-09-10 19:58:21",106.38.63.131,/cdc/zika/geo_report.vbs,1,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",http://120.76.195.65/cdc_zika.html,
2562,"2016-09-13 16:15:53",106.38.63.131,/favicon.ico,0,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",,
2569,"2016-09-13 16:15:59",106.38.63.131,/cdc/zika/geo_report.vbs,1,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",,
2570,"2016-09-13 16:16:02",106.38.63.131,/favicon.ico,0,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",http://120.76.195.65/cdc/zika/geo_report.vbs,
2573,"2016-09-13 16:16:08",106.38.63.131,/cdc/zika/geo_report.vbs,1,GET,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.104 Safari/537.36",,
2574,"2016-09-13 16:16:25",106.38.63.131,/favicon.ico,0,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",,
2580,"2016-09-13 16:16:26",106.38.63.131,/favicon.ico,0,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",,
2581,"2016-09-13 16:16:29",106.38.63.131,/favicon.ico,0,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",,
2582,"2016-09-13 16:16:30",106.38.63.131,/favicon.ico,0,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",,
2593,"2016-09-13 16:17:54",106.38.63.131,/cdc/zika/geo_report.vbs,1,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",http://127.0.0.1:4000/,
2646,"2016-09-14 01:13:15",106.38.63.131,/d3/worldMap_timeline/style.css,0,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.8 Safari/537.36",http://120.76.195.65/cdc_zika.html,
