Checked,Name,Formula,Annotation Source: Predicted Compositions,Annotation Source: mzCloud Search,Annotation Source: Metabolika Search,FISh Coverage,Molecular Weight,RT [min],Area (Max.),# mzCloud Results,# Metabolika Pathways,Metabolika Pathways,mzCloud Best Match,mzCloud Best Sim. Match,MS2,Group Area: F3
TRUE,N-(p-Coumaroyl) serotonin,C19 H18 N2 O3,Full match,Full match,Partial match,,322.13122,10.039,7498716847,3,1,Superpathway of indole-3-acetate conjugate biosynthesis,99.9,,DDA for preferred ion,7498716847
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,N-(p-Coumaroyl) serotonin,C19 H18 N2 O3,322.13174,99.9,,Reference-6228,,Endogenous Metabolites; Natural Products/Medicines,Reference,,,,,,
,TRUE,N-(p-Coumaroyl) serotonin,C19 H18 N2 O3,322.13174,99.9,,Reference-6228,,Endogenous Metabolites; Natural Products/Medicines,Reference,,,,,,
,TRUE,N-(p-Coumaroyl) serotonin,C19 H18 N2 O3,322.13174,99.9,,Reference-6228,,Endogenous Metabolites; Natural Products/Medicines,Reference,,,,,,
TRUE,NP-003251,C27 H34 O12,Not the top hit,Full match,No results,,550.20416,9.622,5921016148,1,0,,96.1,,DDA for preferred ion,5921016148
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,NP-003251,C27 H34 O12,550.20503,96.1,60.3,Autoprocessed-6532,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[(5-hydroxy-8-methoxy-4-oxo-2-phenyl-4H-chromen-7-yl)oxy]oxane-2-carboxylic acid",C22 H20 O11,Not the top hit,Full match,No results,,460.09978,10.719,3643443543,1,0,,96.6,,DDA for preferred ion,3643443543
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[(5-hydroxy-8-methoxy-4-oxo-2-phenyl-4H-chromen-7-yl)oxy]oxane-2-carboxylic acid",C22 H20 O11,460.10056,96.6,,Autoprocessed-2959,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
TRUE,Serotonin,C10 H12 N2 O,Full match,Full match,No results,,176.09478,5.491,1902045903,2,0,,98.4,,DDA for preferred ion,1902045903
,Checked,Name,Formula,Molecular Weight,Best Match,Best Sim. Match,mzCloud ID,KEGG ID,Compound Class,mzCloud Library,,,,,,
,TRUE,Serotonin,C10 H12 N2 O,176.09496,98.4,,Reference-123,C00780,Endogenous Metabolites,Reference,,,,,,
,TRUE,NP-016668,C10 H12 N2 O,176.09496,97.9,,Autoprocessed-6561,,Endogenous Metabolites; Natural Products/Medicines,Autoprocessed,,,,,,
