fit,iter,chromosome
4764,0,"[0,0,0,0,8]"
4588,1,"[0,0,4,4,4]"
4440,2,"[0,0,6,0,8]"
4118,3,"[0,4,7,8,3]"
3870,4,"[0,5,10,4,7]"
3829,5,"[3,8,4,8,6]"
3371,6,"[8,7,7,5,12]"
3351,7,"[0,5,11,3,14]"
3186,8,"[4,9,8,8,11]"
2961,9,"[4,9,8,8,14]"
2743,10,"[0,7,11,8,17]"
2664,11,"[4,5,15,7,17]"
2467,12,"[3,13,12,14,13]"
2149,13,"[0,10,12,12,21]"
2079,14,"[3,11,12,12,21]"
1974,15,"[10,10,15,15,18]"
1804,16,"[7,11,18,13,21]"
1686,17,"[9,11,18,12,24]"
1444,18,"[3,11,18,19,23]"
1307,19,"[6,11,18,19,25]"
1242,20,"[5,10,20,19,26]"
1146,21,"[9,12,22,19,26]"
1014,22,"[8,12,22,19,29]"
974,23,"[10,15,23,22,26]"
831,24,"[6,14,23,23,29]"
777,25,"[8,16,21,30,26]"
679,26,"[9,15,26,19,36]"
578,27,"[10,15,28,22,35]"
548,28,"[5,15,19,24,39]"
460,29,"[7,13,25,24,39]"
398,30,"[9,16,28,24,39]"
314,31,"[8,16,25,27,40]"
286,32,"[10,18,22,27,43]"
182,33,"[8,18,25,30,43]"
163,34,"[8,18,25,31,43]"
150,35,"[10,18,26,31,43]"
102,36,"[10,18,30,33,43]"
77,37,"[8,19,30,34,44]"
57,38,"[8,19,30,34,46]"
36,39,"[10,18,30,36,46]"
29,40,"[10,18,30,37,46]"
13,41,"[10,18,29,38,48]"
10,42,"[10,19,29,38,48]"
3,43,"[10,19,30,39,49]"
2,44,"[9,20,30,41,50]"
1,45,"[10,20,30,39,50]"
0,46,"[10,20,30,40,50]"
