x,y,z
0.3296421,-6.753858,-8.818388
4.616915,-5.549636,-0.9464225
1.912133,-4.816415,1.669457
-1.434986,-5.38502,-2.660372
5.79124,-4.837191,-1.353609
-4.128863,-4.122072,-4.167237
2.658624,-5.587315,-3.73626
3.415799,-2.091272,-1.595504
2.338245,-7.289652,-0.8838012
-5.242035,-3.85071,-5.191285
1.809993,-5.426212,-10.46675
3.770066,-4.756917,0.4359012
-1.006244,-4.897892,-3.595196
-1.008714,-2.672057,-4.91155
5.54211,-4.821457,-0.8330045
1.074861,-3.557968,-1.624334
3.626313,-4.933278,-5.380041
3.595803,-2.586318,-0.4920848
0.3084172,-3.438377,-2.611337
-2.536091,-4.925086,-3.508682
1.995182,-4.750051,-9.732018
2.116572,-5.56626,1.09675
0.590396,-4.792588,-3.006315
-2.239354,-3.060114,-4.604927
5.122916,-4.962685,-1.897424
0.9867913,-3.70471,-1.842693
3.997803,-5.339355,-4.867959
3.853042,-3.048736,-1.196938
1.269793,-4.030499,-0.7389124
-4.027319,-4.308586,-3.982872
2.293057,-5.402081,-10.94966
-3.299832,-4.502176,-3.235481
1.76854,-3.388761,-3.745355
0.01418269,-3.167543,-2.78126
3.032885,-4.717833,-5.197276
-1.263622,-2.744089,1.44622
2.601995,-5.784561,-11.19244
-3.831325,-3.475907,-4.441282
0.3756016,-4.048975,-1.416553
-3.185873,-4.954843,-2.946358
1.969193,-3.699514,-0.6256625
4.216197,-4.414992,-2.045035
3.546402,-5.694018,0.8498759
3.510612,-2.504033,-1.699088
2.644541,-2.103311,-3.200837
-2.70559,-4.919746,-3.061578
0.7669074,-3.060825,-1.181533
3.425015,-4.688536,0.9474523
1.887939,-5.215654,-10.05782
2.145744,-6.386961,-11.46865
1.368508,-4.679376,1.921977
2.797714,-3.973244,2.705537
3.288908,-2.586312,-1.685063
1.416532,-4.518889,-0.6887631
2.912766,-3.896601,2.797744
1.980949,-5.612195,-8.725646
3.873387,-5.097413,0.7784522
4.534695,-7.309093,0.3521543
3.433252,-4.974471,-5.562697
-1.508732,-3.42938,-4.163044
-1.619553,-3.886419,-3.12351
3.725511,-1.583363,-2.260959
-1.283567,-4.402247,-3.869999
-0.8045936,-4.727701,-4.596708
8.298201,-2.012852,-1.90397
2.277084,-4.464949,-5.348395
3.364753,-4.120842,-5.214706
1.326963,-7.035489,-5.047671
5.769221,-5.092606,-1.788288
-0.9384711,-4.859257,-1.638373
1.547893,-2.003042,3.408768
0.8960452,-3.770396,-1.931583
2.667089,-5.881826,-11.07828
-2.959897,-4.284044,-4.300431
0.1739722,-3.555531,-1.617135
1.703177,-4.386927,2.287134
0.7687496,-3.598454,-0.9895182
4.587348,-4.00893,0.2220344
2.643583,-5.901285,-11.68189
2.465163,-5.82519,-11.5582
3.830516,-7.378181,0.2881624
4.119965,-2.678119,-1.026754
3.487442,-3.562086,-4.975732
-1.440468,-3.660691,-4.017163
0.8626004,-4.595687,-3.882763
3.896677,-7.20416,0.06009799
2.383678,-3.051026,-1.048198
4.187432,-5.705504,-1.661127
2.831393,-5.174496,-4.938772
2.593388,-0.2970088,-7.808298
3.817667,-4.770395,0.7046201
-0.7714103,-3.456257,-3.731102
-2.623014,-5.40233,-3.25167
3.445163,-5.699363,-1.178799
2.935046,-0.4999955,-0.2860188
3.531482,-5.201192,-5.803703
0.2635803,-3.656114,-1.731611
5.480093,-4.955137,-1.228168
-1.730953,-3.181008,-4.338359
2.814848,-5.972325,-2.887124
