ID,input,BipolarSigmoid,BipolarSigmoid/dt,HyperbolicTangent,HyperbolicTangent/dt,ReLU,ReLU/dt,Sigmoid,Sigmoid/dt,SigmoidFunction,SigmoidFunction/dt,Threshold,Threshold/dt
00000000000059c0,-100,-1,-9999,-1,5.53558610694695E-87,0,0,1.38389652673674E-87,-20200,0,-10100,0,0
9a99999999f958c0,-99.9,-1,-9979.01,-1,6.76118013905804E-87,0,0,1.69029503476451E-87,-20159.82,0,-10079.91,0,0
3433333333f358c0,-99.8,-1,-9959.04,-1,8.25812407026316E-87,0,0,2.06453101756579E-87,-20119.68,0,-10059.84,0,0
ceccccccccec58c0,-99.7,-1,-9939.09,-1,1.00864955166482E-86,0,0,2.52162387916205E-87,-20079.58,0,-10039.79,0,0
6866666666e658c0,-99.6,-1,-9919.16000000001,-1,1.23196734442042E-86,0,0,3.07991836105104E-87,-20039.52,0,-10019.76,0,0
0200000000e058c0,-99.5,-1,-9899.25000000001,-1,1.50472831243834E-86,0,0,3.76182078109585E-87,-19999.5,0,-9999.75000000001,0,0
9c99999999d958c0,-99.4,-1,-9879.36000000001,-1,1.83787931109386E-86,0,0,4.59469827773466E-87,-19959.52,0,-9979.76000000001,0,0
3633333333d358c0,-99.3,-1,-9859.49000000001,-1,2.24479085973553E-86,0,0,5.61197714933883E-87,-19919.58,0,-9959.79000000001,0,0
d0cccccccccc58c0,-99.2,-1,-9839.64000000001,-1,2.74179374757369E-86,0,0,6.85448436893422E-87,-19879.68,0,-9939.84000000001,0,0
6a66666666c658c0,-99.1000000000001,-1,-9819.81000000001,-1,3.34883444559277E-86,0,0,8.37208611398193E-87,-19839.82,0,-9919.91000000001,0,0
0400000000c058c0,-99.0000000000001,-1,-9800.00000000001,-1,4.09027562846875E-86,0,0,1.02256890711719E-86,-19800,0,-9900.00000000001,0,0
9e99999999b958c0,-98.9000000000001,-1,-9780.21000000001,-1,4.99587393424699E-86,0,0,1.24896848356175E-86,-19760.22,0,-9880.11000000001,0,0
3833333333b358c0,-98.8000000000001,-1,-9760.44000000001,-1,6.10197420270971E-86,0,0,1.52549355067743E-86,-19720.48,0,-9860.24000000001,0,0
d2ccccccccac58c0,-98.7000000000001,-1,-9740.69000000002,-1,7.45296812141176E-86,0,0,1.86324203035294E-86,-19680.78,0,-9840.39000000001,0,0
6c66666666a658c0,-98.6000000000001,-1,-9720.96000000002,-1,9.10307581997203E-86,0,0,2.27576895499301E-86,-19641.12,0,-9820.56000000002,0,0
0600000000a058c0,-98.5000000000001,-1,-9701.25000000002,-1,1.11185219142549E-85,0,0,2.77963047856372E-86,-19601.5,0,-9800.75000000002,0,0
a0999999999958c0,-98.4000000000001,-1,-9681.56000000002,-1,1.3580193332735E-85,0,0,3.39504833318376E-86,-19561.92,0,-9780.96000000002,0,0
3a333333339358c0,-98.3000000000001,-1,-9661.89000000002,-1,1.65868855929507E-85,0,0,4.14672139823768E-86,-19522.38,0,-9761.19000000002,0,0
d4cccccccc8c58c0,-98.2000000000001,-1,-9642.24000000002,-1,2.0259267812517E-85,0,0,5.06481695312924E-86,-19482.88,0,-9741.44000000002,0,0
6e666666668658c0,-98.1000000000001,-1,-9622.61000000002,-1,2.47447255845135E-85,0,0,6.18618139612838E-86,-19443.42,0,-9721.71000000002,0,0
08000000008058c0,-98.0000000000001,-1,-9603.00000000002,-1,3.0223276078841E-85,0,0,7.55581901971024E-86,-19404,0,-9702.00000000002,0,0
a2999999997958c0,-97.9000000000001,-1,-9583.41000000002,-1,3.69147927633322E-85,0,0,9.22869819083306E-86,-19364.62,0,-9682.31000000002,0,0
3c333333337358c0,-97.8000000000001,-1,-9563.84000000002,-1,4.50878296980445E-85,0,0,1.12719574245111E-85,-19325.2800000001,0,-9662.64000000002,0,0
d6cccccccc6c58c0,-97.7000000000001,-1,-9544.29000000003,-1,5.5070399552647E-85,0,0,1.37675998881617E-85,-19285.9800000001,0,-9642.99000000003,0,0
70666666666658c0,-97.6000000000001,-1,-9524.76000000003,-1,6.72631379065849E-85,0,0,1.68157844766462E-85,-19246.7200000001,0,-9623.36000000003,0,0
0a000000006058c0,-97.5000000000001,-1,-9505.25000000003,-1,8.21553821616097E-85,0,0,2.05388455404024E-85,-19207.5000000001,0,-9603.75000000003,0,0
a4999999995958c0,-97.4000000000001,-1,-9485.76000000003,-1,1.00344810369892E-84,0,0,2.50862025924729E-85,-19168.3200000001,0,-9584.16000000003,0,0
3e333333335358c0,-97.3000000000002,-1,-9466.29000000003,-1,1.22561428152844E-84,0,0,3.06403570382109E-85,-19129.1800000001,0,-9564.59000000003,0,0
d8cccccccc4c58c0,-97.2000000000002,-1,-9446.84000000003,-1,1.49696866389931E-84,0,0,3.74242165974827E-85,-19090.0800000001,0,-9545.04000000003,0,0
72666666664658c0,-97.1000000000002,-1,-9427.41000000003,-1,1.82840165496594E-84,0,0,4.57100413741485E-85,-19051.0200000001,0,-9525.51000000003,0,0
0c000000004058c0,-97.0000000000002,-1,-9408.00000000003,-1,2.23321482439999E-84,0,0,5.58303706099998E-85,-19012.0000000001,0,-9506.00000000003,0,0
a6999999993958c0,-96.9000000000002,-1,-9388.61000000003,-1,2.7276547460863E-84,0,0,6.81913686521575E-85,-18973.0200000001,0,-9486.51000000003,0,0
40333333333358c0,-96.8000000000002,-1,-9369.24000000003,-1,3.33156503017845E-84,0,0,8.32891257544612E-85,-18934.0800000001,0,-9467.04000000004,0,0
