Time,Intensity
0.001,10
4.203,0
8.406,0
12.608,40
16.81,0
21.012,0
25.215,0
29.417,30
33.619,0
37.821,0
42.024,20
46.226,10
50.428,10
54.63,0
58.833,0
63.035,0
67.237,0
71.439,10
75.642,30
79.844,90
84.046,70
88.249,0
92.451,0
96.653,0
100.855,0
105.058,0
109.26,10
113.462,0
117.665,0
121.867,0
126.069,0
130.271,10
134.474,0
138.676,0
142.878,40
147.08,0
151.283,10
155.485,0
159.687,10
163.889,0
168.092,10
172.294,0
176.496,0
180.698,0
184.901,0
189.103,0
193.305,20
197.508,0
201.71,0
205.912,0
210.115,0
214.317,0
218.518,10
222.721,0
226.924,20
231.126,0
235.328,0
239.53,30
243.733,0
247.935,0
252.137,0
256.339,0
260.542,0
264.744,0
268.946,0
273.149,0
277.351,0
281.553,0
285.755,0
289.958,0
294.16,10
298.362,0
302.564,10
306.767,10
310.969,0
315.171,0
319.374,0
323.576,0
327.778,0
331.98,10
336.183,0
340.385,0
344.587,10
348.789,30
352.991,0
357.194,0
361.396,20
365.598,0
369.801,0
374.003,0
378.205,20
382.407,0
386.61,0
390.812,0
395.014,0
399.217,0
403.419,0
407.621,0
411.823,20
416.026,30
420.228,0
424.43,0
428.633,0
432.835,10
437.037,0
441.239,0
445.442,0
449.644,0
453.846,0
458.048,30
462.251,0
466.453,0
470.655,0
474.857,10
479.06,0
483.262,0
487.464,0
491.667,0
495.869,20
500.071,10
504.273,0
508.476,0
512.678,0
516.88,0
521.083,0
525.285,0
529.487,0
533.689,0
537.892,0
542.094,10
546.296,0
550.498,0
554.701,0
558.903,0
563.105,0
567.307,0
571.51,0
575.712,0
579.914,0
584.116,0
588.319,40
592.521,0
596.723,0
600.926,0
605.128,10
609.33,0
613.532,0
617.735,0
621.936,20
626.139,0
630.342,0
634.544,10
638.746,0
642.948,50
647.151,0
651.353,0
655.555,0
659.757,0
663.96,0
668.162,10
672.364,0
676.567,0
680.769,10
684.971,0
689.173,0
693.375,10
697.578,0
701.78,0
705.982,0
710.185,0
714.387,0
718.589,10
722.792,0
726.994,0
731.196,0
735.398,0
739.601,10
743.803,0
748.005,0
752.207,20
756.409,0
760.612,10
764.814,0
769.016,10
773.219,20
777.421,10
781.623,50
785.825,30
790.028,0
794.23,0
798.432,0
802.635,0
806.837,0
811.039,0
815.241,20
819.444,0
823.646,20
827.848,0
832.051,0
836.253,0
840.455,0
844.657,20
848.86,0
853.062,0
857.264,0
861.466,20
865.669,0
869.871,0
874.073,0
878.275,0
882.478,0
