align$name,queryName,align$alignment_name,query,subject
L05302_[M+H]+,./lxy-CID30.mzXML,L05302_[M+H]+#./lxy-CID30.mzXML#199,"84.4851226806641,0.00661629537250623 85.1589050292969,0.00441733428917542 87.2100677490234,0.00401847836872693 87.8208160400391,0.00536979095941418 100.049896240234,0.0509634086680066 103.337158203125,0.00661451078035338 114.068008422852,0.0189182587726191 118.048782348633,0.0683359773451067 126.963104248047,0.0203280967905023 128.079956054688,0.0122892839409811 130.281860351562,0.0336384926882399 131.655288696289,0.0625622495713164 132.34977722168,0.195345448543479 133.204559326172,0.182029938971853 136.006393432617,0.0148544529552083 142.195846557617,0.0154800342418279 144.149063110352,0.0246657608748959 144.911087036133,0.0467698589142313 146.2587890625,0.052833886021069 149.195556640625,0.00634534089919577 150.814422607422,0.0947774006006692 155.966232299805,1 157.258224487305,0.0113960155342889 159.111892700195,0.102458346529325 160.379043579102,0.0434365370694937 161.41960144043,0.0368770131834225 162.474990844727,0.107281220445247 166.029922485352,0.0832703163419817 173.143936157227,0.134529667604863 174.097915649414,0.208052766384845 177.105575561523,0.0129381364455022 182.774063110352,0.0125534461509807","92.0495,0.0166038 93.0573,0.86587004 94.0651,0.13613017 108.0444,0.04760263 109.0521,0.01358588 110.06,0.01375985 127.9562,0.00293211 156.0113,1"
L05372_[M+H]+,./lxy-CID30.mzXML,L05372_[M+H]+#./lxy-CID30.mzXML#199,"84.4851226806641,0.00661629537250623 85.1589050292969,0.00441733428917542 87.2100677490234,0.00401847836872693 87.8208160400391,0.00536979095941418 100.049896240234,0.0509634086680066 103.337158203125,0.00661451078035338 114.068008422852,0.0189182587726191 118.048782348633,0.0683359773451067 126.963104248047,0.0203280967905023 128.079956054688,0.0122892839409811 130.281860351562,0.0336384926882399 131.655288696289,0.0625622495713164 132.34977722168,0.195345448543479 133.204559326172,0.182029938971853 136.006393432617,0.0148544529552083 142.195846557617,0.0154800342418279 144.149063110352,0.0246657608748959 144.911087036133,0.0467698589142313 146.2587890625,0.052833886021069 149.195556640625,0.00634534089919577 150.814422607422,0.0947774006006692 155.966232299805,1 157.258224487305,0.0113960155342889 159.111892700195,0.102458346529325 160.379043579102,0.0434365370694937 161.41960144043,0.0368770131834225 162.474990844727,0.107281220445247 166.029922485352,0.0832703163419817 173.143936157227,0.134529667604863 174.097915649414,0.208052766384845 177.105575561523,0.0129381364455022 182.774063110352,0.0125534461509807","65.0385,0.00374504 68.0495,0.00838507 92.0495,0.04972444 93.0573,1 94.0652,0.00971536 108.0444,0.12846248 110.06,0.0028461 120.0559,0.00203052 127.9559,0.00407155 156.0114,0.32566577 174.022,0.75198644"
L05378_[M+H]+,./lxy-CID30.mzXML,L05378_[M+H]+#./lxy-CID30.mzXML#199,"84.4851226806641,0.00661629537250623 85.1589050292969,0.00441733428917542 87.2100677490234,0.00401847836872693 87.8208160400391,0.00536979095941418 100.049896240234,0.0509634086680066 103.337158203125,0.00661451078035338 114.068008422852,0.0189182587726191 118.048782348633,0.0683359773451067 126.963104248047,0.0203280967905023 128.079956054688,0.0122892839409811 130.281860351562,0.0336384926882399 131.655288696289,0.0625622495713164 132.34977722168,0.195345448543479 133.204559326172,0.182029938971853 136.006393432617,0.0148544529552083 142.195846557617,0.0154800342418279 144.149063110352,0.0246657608748959 144.911087036133,0.0467698589142313 146.2587890625,0.052833886021069 149.195556640625,0.00634534089919577 150.814422607422,0.0947774006006692 155.966232299805,1 157.258224487305,0.0113960155342889 159.111892700195,0.102458346529325 160.379043579102,0.0434365370694937 161.41960144043,0.0368770131834225 162.474990844727,0.107281220445247 166.029922485352,0.0832703163419817 173.143936157227,0.134529667604863 174.097915649414,0.208052766384845 177.105575561523,0.0129381364455022 182.774063110352,0.0125534461509807","68.0495,0.00442482 92.0495,0.03549955 93.0573,1 94.0651,0.00922593 108.0444,0.125139 110.0599,0.00415245 127.9562,0.00471287 156.0113,0.31731964 174.0219,0.77865065"
L05380_[M+H]+,./lxy-CID30.mzXML,L05380_[M+H]+#./lxy-CID30.mzXML#199,"84.4851226806641,0.00661629537250623 85.1589050292969,0.00441733428917542 87.2100677490234,0.00401847836872693 87.8208160400391,0.00536979095941418 100.049896240234,0.0509634086680066 103.337158203125,0.00661451078035338 114.068008422852,0.0189182587726191 118.048782348633,0.0683359773451067 126.963104248047,0.0203280967905023 128.079956054688,0.0122892839409811 130.281860351562,0.0336384926882399 131.655288696289,0.0625622495713164 132.34977722168,0.195345448543479 133.204559326172,0.182029938971853 136.006393432617,0.0148544529552083 142.195846557617,0.0154800342418279 144.149063110352,0.0246657608748959 144.911087036133,0.0467698589142313 146.2587890625,0.052833886021069 149.195556640625,0.00634534089919577 150.814422607422,0.0947774006006692 155.966232299805,1 157.258224487305,0.0113960155342889 159.111892700195,0.102458346529325 160.379043579102,0.0434365370694937 161.41960144043,0.0368770131834225 162.474990844727,0.107281220445247 166.029922485352,0.0832703163419817 173.143936157227,0.134529667604863 174.097915649414,0.208052766384845 177.105575561523,0.0129381364455022 182.774063110352,0.0125534461509807","92.0494,0.01185138 93.0573,0.87267261 94.0652,0.1311604 108.0444,0.04801305 109.0523,0.00973382 110.0601,0.01413559 127.9559,0.00961682 156.0114,1 174.0221,0.00296349"
L17762_[M+H]+,./lxy-CID30.mzXML,L17762_[M+H]+#./lxy-CID30.mzXML#229,"58.0924873352051,0.0011455952866141 72.2156143188477,0.103192159068647 72.9254913330078,8.93512324865159e-05 75.2567367553711,0.00196074523975777 79.1324844360352,0.00010336753506268 84.0867614746094,0.000293832840347797 85.3241424560547,9.39576306121983e-05 88.1550903320312,0.000302707233377889 100.141128540039,0.145195436147654 101.171493530273,0.000389734030943579 112.615524291992,0.00387527588239405 114.108474731445,0.0159763759321145 115.041931152344,0.000887936153560737 117.22428894043,0.22829937585994 120.093139648438,0.000231260619131681 126.419403076172,0.000848701182313225 127.297500610352,0.000464853420741201 128.200698852539,0.000727718576472623 129.141632080078,0.000780044849326541 130.246109008789,0.000822687738756772 131.238754272461,0.0233846362648517 141.807815551758,0.00043964354149148 146.147598266602,0.000269353636835949 147.37223815918,0.000129043225689198 152.194290161133,0.00046459299654141 154.48957824707,0.000230669175663872 156.996124267578,0.00325316081530587 170.192184448242,0.0475757147881555 171.193801879883,1 172.006805419922,0.000181992393736052 173.130355834961,0.000141670512960458 179.250350952148,0.0109691489661821 188.359909057617,0.00122952868324835","50.8,0.00020656 57.4,0.00018361 58.2,0.02749598 60,0.00016066 67.4,0.00016066 69,0.00073445 70,0.00130824 70.8,0.00022952 72.1,0.08531099 75.1,0.01016755 79.1,0.00016066 81.1,0.00061969 83.1,0.00080331 84.3,0.02205646 85,0.00018361 86,0.00050493 86.8,0.00087216 89.3,0.00034427 93.1,0.0007574 94.9,0.00036723 96.8,0.0007115 98,0.00045903 98.9,0.00472802 100,0.02648611 100.9,0.00036723 105.2,0.00022952 105.7,0.00018361 107.2,0.00036723 108.9,0.00036723 110,0.00016066 111.4,0.00098692 112.2,0.143126 114,0.55070002 115.3,9.181e-05 117,0.0051641 125.1,0.001423 128.1,0.00013771 129,0.01893505 130.2,0.0051182 131.2,0.10716089 135,0.00098692 143.1,0.0291944 146.2,0.0021345 151.9,6.885e-05 153.1,0.00185908 154.1,0.00022952 155.9,0.00027542 157.1,0.00135414 170.4,0.02242369 171.3,0.85148038 173.2,0.00048198 186.4,0.00018361 188.3,1 189.4,0.00020656"
L18538_[M+H]+,./lxy-CID30.mzXML,L18538_[M+H]+#./lxy-CID30.mzXML#248,"87.1528244018555,0.00395245842019906 102.278198242188,0.0216057512135508 111.143600463867,0.00765934910181071 122.210021972656,0.0199331924891995 123.811492919922,0.0296774968082483 124.428588867188,0.0130872106088072 127.262573242188,0.0131821983445814 131.40510559082,0.0118435073030683 134.224700927734,0.00395199359664743 136.301071166992,0.0191062111723953 139.194808959961,0.0082514973096186 140.861618041992,0.0924555187554894 143.09342956543,0.0243744669918319 146.226547241211,0.0148733067166788 147.510131835938,0.00954383036873989 152.156661987305,0.0384670464677327 153.534652709961,0.078861858288141 154.252792358398,0.059171677598372 154.979721069336,0.00339335479812139 158.066940307617,0.393307583698656 168.24543762207,0.176796214856096 168.942031860352,0.0132015438206267 171.145431518555,0.183566161679211 172.164489746094,0.0103813353537265 173.287048339844,0.0053802090244681 176.383316040039,0.0327297336994465 177.932266235352,0.0951277574734244 179.083755493164,0.0813829730691829 182.156707763672,0.0333558482683935 186.213912963867,0.00608788812239157 191.297576904297,0.0672781940413717 192.5712890625,0.0504571357400516 196.077178955078,1 197.072448730469,0.355043315226169 204.985305786133,0.0201009981207684 214.002914428711,0.0331606522891492 218.72492980957,0.00605438579763463 220.397354125977,0.0154479923577309","67.1,0.00017905 69.2,0.00127216 71.3,0.00043593 72.2,0.00189175 77.2,0.00982125 79.1,0.00022535 81.1,0.00027322 83.1,0.00088914 84.2,0.00052053 85.1,0.00062643 86.2,0.00061866 88.2,0.00025414 90.2,0.00059022 92,0.00021836 93.2,0.00156252 95.1,0.00455277 96,2.707e-05 97.1,0.00174697 98.2,0.00067179 99.2,0.00070217 101.1,0.000172 102,0.0008021 103.1,0.0004756 104.9,0.00013737 110.2,0.00025494 111.1,0.00124545 112.1,0.00072975 114.1,0.00061671 115.1,0.0021397 116,0.00175928 118.1,0.00016753 119.1,0.00018877 119.8,0.0006926 120.9,0.000145 123.1,0.00039151 125.1,0.00297003 126,1.577e-05 127.2,0.0007008 129.1,0.00106193 130,0.00062895 131.1,0.00076128 133,0.00082694 134,0.00023895 135.2,0.00229572 136.1,0.0002409 137.1,0.00075509 139.2,0.00102867 140.1,0.00110023 141,0.1401664 142.1,0.00047791 143.1,0.00879647 144.1,0.00994984 149.1,0.00038554 150.2,0.00030108 151,0.20612685 151,7.2e-06 152.1,0.00042931 153,0.00130463 154,0.02374948 155,0.00647872 156.1,0.00013722 157.2,0.00394276 158,0.40566526 158.9,0.0011466 160.1,0.00057913 161.4,0.0006206 163,0.00177829 165.1,0.0002738 166.1,0.00057568 167.1,0.0017857 168.3,0.00209175 169.1,9.496e-05 171.1,0.00646288 172.1,0.00044486 175.9,0.00048302 177.1,0.00081794 178.1,0.01123071 179,0.26363289 179,7.2e-06 180.1,5.119e-05 181.1,0.00071031 182,0.00107028 183.2,1.462e-05 185.1,0.00278053 186.2,0.00087474 187.2,0.00189226 187.9,0.00019871 193.2,2.318e-05 194.1,4.262e-05 195.2,0.00485991 196.1,0.62296443 196.1,7.2e-06 197,7.2e-06 197,1 198,0.00195252 199,0.00196353 200.2,0.00010979 201,6.948e-05 201.9,0.00022707 203.1,0.00098727 209.3,0.00063982 214.1,0.0027161 215,0.00467063 216.1,0.00121996 217.4,0.00012959 218.1,0.00011231 219.6,0.0001378 221,0.0005504 223.6,0.00018625 225.3,0.00022045 226.9,0.00018776 227.8,0.00049641 229,0.00012866 230.9,0.00024558 232,9.107e-05 232.7,7.315e-05 235.9,0.00018488 237.1,0.00021174 258.9,0.00055739"
L17600_[M+H]+,./lxy-CID30.mzXML,L17600_[M+H]+#./lxy-CID30.mzXML#266,"55.2863311767578,0.00771131168002911 58.2762794494629,0.100417477220052 59.235652923584,0.068533987620982 60.2933807373047,0.0855764077468085 69.3081436157227,0.00365175572992699 70.2779693603516,0.00913653807130167 72.103515625,0.00590066612286724 72.9830322265625,0.0188300320811806 74.2991180419922,0.0166131616979175 84.3887481689453,0.00386769629925717 85.1860198974609,0.00167244413044257 86.2211456298828,0.410781463808742 87.2031555175781,0.00973474885964743 88.1062698364258,0.00404945987625224 88.7330474853516,0.0050776541862264 90.1235809326172,1 96.2049255371094,0.00936697867374533 97.1532440185547,0.000917403653788865 100.331604003906,0.00630027120051775 101.239288330078,0.00161382367276253 104.132400512695,0.00166147952762512 114.219131469727,0.199834361932846 115.221603393555,0.0871839195321408 116.462463378906,0.00496231972601371 120.458251953125,0.00467809955948476 122.580139160156,0.00256591112956771 123.338043212891,0.00136112344805639 130.445541381836,0.00295530892041595 132.097457885742,0.00751114014988501","51.8,0.00129912 55,0.01883728 59,0.00893147 60.2,0.0862293 61.4,0.0068204 69.2,0.02403378 69.9,0.00324781 72.1,1 73,0.07892173 82.9,0.00227347 86,0.02500812 90.1,0.49788892 96.9,0.11545956 98,0.00876908 99.9,0.00470932 100.5,0.00243586 114.2,0.26567067 115.3,0.17473206 132.1,0.48132511"
L18038_[M+H]+,./lxy-CID30.mzXML,L18038_[M+H]+#./lxy-CID30.mzXML#266,"55.2863311767578,0.00771131168002911 58.2762794494629,0.100417477220052 59.235652923584,0.068533987620982 60.2933807373047,0.0855764077468085 69.3081436157227,0.00365175572992699 70.2779693603516,0.00913653807130167 72.103515625,0.00590066612286724 72.9830322265625,0.0188300320811806 74.2991180419922,0.0166131616979175 84.3887481689453,0.00386769629925717 85.1860198974609,0.00167244413044257 86.2211456298828,0.410781463808742 87.2031555175781,0.00973474885964743 88.1062698364258,0.00404945987625224 88.7330474853516,0.0050776541862264 90.1235809326172,1 96.2049255371094,0.00936697867374533 97.1532440185547,0.000917403653788865 100.331604003906,0.00630027120051775 101.239288330078,0.00161382367276253 104.132400512695,0.00166147952762512 114.219131469727,0.199834361932846 115.221603393555,0.0871839195321408 116.462463378906,0.00496231972601371 120.458251953125,0.00467809955948476 122.580139160156,0.00256591112956771 123.338043212891,0.00136112344805639 130.445541381836,0.00295530892041595 132.097457885742,0.00751114014988501","55,0.0738255 59.3,0.07478428 68.3,0.00862895 69.3,0.12272291 71,0.00958773 71.4,0.00383509 72.8,0.02780441 78.8,0.00383509 83.3,0.02780441 85.9,0.042186 87.2,0.04506232 90,1 97.1,0.11792905 100.2,0.03068073 113.8,0.03739214 115,0.20230105 132.1,0.32694151"
L18041_[M+H]+,./lxy-CID30.mzXML,L18041_[M+H]+#./lxy-CID30.mzXML#266,"55.2863311767578,0.00771131168002911 58.2762794494629,0.100417477220052 59.235652923584,0.068533987620982 60.2933807373047,0.0855764077468085 69.3081436157227,0.00365175572992699 70.2779693603516,0.00913653807130167 72.103515625,0.00590066612286724 72.9830322265625,0.0188300320811806 74.2991180419922,0.0166131616979175 84.3887481689453,0.00386769629925717 85.1860198974609,0.00167244413044257 86.2211456298828,0.410781463808742 87.2031555175781,0.00973474885964743 88.1062698364258,0.00404945987625224 88.7330474853516,0.0050776541862264 90.1235809326172,1 96.2049255371094,0.00936697867374533 97.1532440185547,0.000917403653788865 100.331604003906,0.00630027120051775 101.239288330078,0.00161382367276253 104.132400512695,0.00166147952762512 114.219131469727,0.199834361932846 115.221603393555,0.0871839195321408 116.462463378906,0.00496231972601371 120.458251953125,0.00467809955948476 122.580139160156,0.00256591112956771 123.338043212891,0.00136112344805639 130.445541381836,0.00295530892041595 132.097457885742,0.00751114014988501","55.2,0.43005181 57.4,0.02072539 59,0.20725389 69,0.39378238 71.8,0.03108808 72.9,0.13989637 83.1,0.04663212 86,0.03626943 87,0.06217617 90.2,0.40932642 97,0.0880829 100.2,0.05181347 114.8,0.04663212 132,0.07253886"
L20051_[M+H]+,./lxy-CID30.mzXML,L20051_[M+H]+#./lxy-CID30.mzXML#266,"55.2863311767578,0.00771131168002911 58.2762794494629,0.100417477220052 59.235652923584,0.068533987620982 60.2933807373047,0.0855764077468085 69.3081436157227,0.00365175572992699 70.2779693603516,0.00913653807130167 72.103515625,0.00590066612286724 72.9830322265625,0.0188300320811806 74.2991180419922,0.0166131616979175 84.3887481689453,0.00386769629925717 85.1860198974609,0.00167244413044257 86.2211456298828,0.410781463808742 87.2031555175781,0.00973474885964743 88.1062698364258,0.00404945987625224 88.7330474853516,0.0050776541862264 90.1235809326172,1 96.2049255371094,0.00936697867374533 97.1532440185547,0.000917403653788865 100.331604003906,0.00630027120051775 101.239288330078,0.00161382367276253 104.132400512695,0.00166147952762512 114.219131469727,0.199834361932846 115.221603393555,0.0871839195321408 116.462463378906,0.00496231972601371 120.458251953125,0.00467809955948476 122.580139160156,0.00256591112956771 123.338043212891,0.00136112344805639 130.445541381836,0.00295530892041595 132.097457885742,0.00751114014988501","72.0566,0.70110193 90.0564,0.43953168 114.0682,0.28608815 115.0523,0.19669421 115.9674,0.12438017 132.0773,1"
