sample,ace,chao1,shannon,simpson,goods_coverage
T1-1,934.826,948.906,7.56,0.975,0.992
T1-2,936.995,947.685,8.007,0.987,0.993
T1-3,898.688,924.246,8.357,0.993,0.994
T1-4,940.091,940.523,7.713,0.988,0.992
T1-5,1045.171,1059.921,8.7,0.995,0.994
T1-6,1019.041,1042.719,8.075,0.986,0.992
T2-1,841.933,875.203,7.295,0.971,0.992
T2-2,852.623,864.649,8.048,0.989,0.994
T2-3,921.295,931.221,8.178,0.99,0.994
T2-4,843.464,867.797,8.138,0.99,0.995
T2-5,994.649,1006.033,8.219,0.99,0.994
T2-6,895.4,929.346,7.38,0.974,0.992
T3-1,419.054,441.286,6.319,0.968,0.996
T3-2,400.191,427.435,6.124,0.968,0.996
T3-3,898.023,890.307,8.236,0.994,0.993
T3-4,950.356,933.391,7.088,0.98,0.989
T3-5,929.672,931.559,7.404,0.981,0.991
T3-6,820.823,834.116,6.248,0.954,0.99
