speed,meal,coffee,oxley,bim,weather,temp,day,mood,restaurant
quick,soup,no,>8,0,sunny,hot,F,happy,Buck-I-Mart
leisurely,other,no,0,1-3,snowy,cold,R,grumpy,Oxley's
quick,sandwich,yes,1-3,0,sunny,cold,R,grumpy,Buck-I-Mart
leisurely,soup,no,4-8,1-3,snowy,cold,T,busy,Buck-I-Mart
quick,soup,no,1-3,1-3,rainy,mild,F,happy,Buck-I-Mart
quick,sandwich,yes,0,1-3,rainy,hot,M,grumpy,Buck-I-Mart
medium,soup,no,0,4-8,sunny,hot,F,grumpy,Buck-I-Mart
quick,sandwich,no,4-8,>8,rainy,mild,M,grumpy,Buck-I-Mart
quick,sandwich,no,>8,4-8,sunny,hot,M,grumpy,Oxley's cafe
leisurely,sandwich,yes,1-3,1-3,sunny,hot,M,busy,Brennan's
medium,soup,yes,1-3,0,sunny,mild,M,grumpy,Buck-I-Mart
leisurely,other,no,1-3,0,sunny,cold,T,happy,Oxley's
medium,soup,no,0,1-3,sunny,cold,F,busy,Buck-I-Mart
medium,soup,no,>8,1-3,snowy,cold,T,happy,Buck-I-Mart
medium,other,yes,4-8,1-3,sunny,mild,R,happy,Oxley's cafe
medium,soup,no,0,1-3,rainy,cold,F,busy,Buck-I-Mart
quick,sandwich,no,0,1-3,sunny,mild,T,happy,Buck-I-Mart
medium,soup,yes,0,4-8,sunny,mild,M,happy,Buck-I-Mart
leisurely,other,yes,>8,4-8,sunny,hot,M,happy,Brennan's
quick,other,yes,>8,1-3,snowy,cold,T,happy,Buck-I-Mart
leisurely,other,yes,4-8,1-3,rainy,cold,W,happy,Brennan's
quick,sandwich,yes,0,1-3,snowy,cold,M,happy,Buck-I-Mart
leisurely,soup,no,>8,>8,sunny,mild,T,happy,Buck-I-Mart
quick,sandwich,yes,4-8,0,snowy,cold,T,busy,Buck-I-Mart
medium,soup,no,0,0,sunny,cold,T,grumpy,Buck-I-Mart
medium,other,no,0,0,sunny,hot,F,grumpy,Oxley's
medium,other,yes,1-3,1-3,sunny,cold,M,busy,Buck-I-Mart
medium,sandwich,no,>8,1-3,snowy,cold,F,grumpy,Buck-I-Mart
medium,other,no,>8,0,rainy,cold,R,grumpy,Buck-I-Mart
quick,sandwich,yes,>8,4-8,sunny,cold,R,happy,Oxley's cafe
leisurely,soup,yes,4-8,4-8,snowy,cold,M,grumpy,Brennan's
leisurely,other,no,4-8,1-3,sunny,cold,F,happy,Brennan's
medium,other,no,>8,1-3,snowy,cold,R,busy,Buck-I-Mart
quick,soup,no,>8,4-8,snowy,cold,R,grumpy,Oxley's cafe
leisurely,soup,no,4-8,0,snowy,cold,R,happy,Buck-I-Mart
leisurely,sandwich,yes,>8,0,snowy,cold,M,busy,Brennan's
leisurely,other,no,0,1-3,rainy,hot,T,grumpy,Oxley's
leisurely,other,yes,0,0,rainy,mild,M,happy,Brennan's
leisurely,sandwich,yes,0,1-3,rainy,mild,R,grumpy,Brennan's
leisurely,soup,yes,1-3,0,rainy,hot,M,busy,Brennan's
leisurely,other,yes,1-3,>8,snowy,cold,F,happy,Brennan's
medium,sandwich,no,>8,1-3,snowy,cold,R,busy,Buck-I-Mart
medium,sandwich,yes,>8,>8,sunny,cold,T,happy,Brennan's
medium,sandwich,yes,>8,1-3,snowy,cold,R,grumpy,Buck-I-Mart
quick,soup,no,4-8,>8,rainy,cold,R,busy,Buck-I-Mart
medium,other,yes,>8,>8,snowy,cold,M,grumpy,Brennan's
leisurely,soup,no,4-8,>8,rainy,cold,W,happy,Buck-I-Mart
quick,other,yes,0,1-3,rainy,mild,W,grumpy,Buck-I-Mart
quick,other,yes,0,>8,sunny,hot,T,busy,Buck-I-Mart
medium,sandwich,yes,>8,>8,rainy,cold,F,happy,Brennan's
