speed,meal,coffee,oxley,bim,weather,temp,day,mood,restaurant
quick,other,yes,1-3,0,sunny,mild,W,grumpy,Buck-I-Mart
quick,sandwich,no,1-3,4-8,rainy,hot,M,busy,Oxley's
quick,soup,yes,>8,0,sunny,cold,R,grumpy,Buck-I-Mart
leisurely,sandwich,no,4-8,>8,rainy,hot,M,busy,Oxley's
quick,soup,no,>8,>8,sunny,cold,F,busy,Oxley's
medium,other,no,1-3,0,snowy,cold,W,happy,Buck-I-Mart
quick,other,no,>8,>8,rainy,hot,R,grumpy,Buck-I-Mart
leisurely,other,no,1-3,>8,sunny,cold,T,happy,Oxley's
quick,soup,no,4-8,4-8,snowy,cold,W,grumpy,Oxley's cafe
quick,sandwich,yes,1-3,1-3,sunny,mild,T,happy,Buck-I-Mart
leisurely,sandwich,no,4-8,1-3,sunny,cold,F,happy,Brennan's
leisurely,soup,no,>8,0,rainy,hot,M,busy,Buck-I-Mart
medium,soup,yes,>8,0,sunny,cold,T,grumpy,Buck-I-Mart
quick,sandwich,yes,4-8,4-8,rainy,cold,T,happy,Oxley's cafe
leisurely,other,yes,1-3,1-3,sunny,cold,F,grumpy,Brennan's
medium,soup,no,0,1-3,rainy,cold,W,busy,Buck-I-Mart
quick,soup,no,1-3,4-8,rainy,hot,F,happy,Oxley's
medium,sandwich,yes,>8,>8,snowy,cold,R,grumpy,Brennan's
leisurely,soup,no,4-8,>8,sunny,mild,M,happy,Buck-I-Mart
leisurely,sandwich,no,>8,>8,snowy,cold,R,happy,Oxley's
medium,other,no,1-3,1-3,snowy,cold,W,busy,Buck-I-Mart
medium,sandwich,no,0,>8,sunny,hot,R,grumpy,Oxley's cafe
quick,other,no,4-8,4-8,snowy,cold,W,grumpy,Oxley's cafe
leisurely,sandwich,no,0,1-3,sunny,hot,F,grumpy,Brennan's
quick,other,yes,0,4-8,sunny,cold,R,grumpy,Oxley's
leisurely,other,yes,>8,>8,snowy,cold,R,happy,Brennan's
quick,soup,yes,1-3,4-8,snowy,cold,F,busy,Oxley's
leisurely,sandwich,yes,4-8,4-8,sunny,mild,W,busy,Brennan's
quick,soup,no,0,0,snowy,cold,R,grumpy,Buck-I-Mart
medium,sandwich,no,1-3,>8,sunny,cold,R,happy,Oxley's
leisurely,soup,yes,4-8,4-8,snowy,cold,T,busy,Brennan's
