fromNode,toNode,value,interaction_type,selfLoop,label,guid
0,1,1,,False,,0
0,2,1,,False,,1
0,11,1,,False,,10
0,101,1,,False,,100
48,54,1,,False,,1000
697,890,1,,False,,10000
698,703,1,,False,,10001
698,708,1,,False,,10002
698,713,1,,False,,10003
698,719,1,,False,,10004
698,729,1,,False,,10005
698,745,1,,False,,10006
698,747,1,,False,,10007
698,753,1,,False,,10008
698,769,1,,False,,10009
48,57,1,,False,,1001
698,772,1,,False,,10010
698,774,1,,False,,10011
698,776,1,,False,,10012
698,798,1,,False,,10013
698,800,1,,False,,10014
698,803,1,,False,,10015
698,804,1,,False,,10016
698,805,1,,False,,10017
698,810,1,,False,,10018
698,811,1,,False,,10019
48,73,1,,False,,1002
698,819,1,,False,,10020
698,823,1,,False,,10021
698,825,1,,False,,10022
698,828,1,,False,,10023
698,830,1,,False,,10024
698,840,1,,False,,10025
698,856,1,,False,,10026
698,857,1,,False,,10027
698,858,1,,False,,10028
698,859,1,,False,,10029
48,80,1,,False,,1003
698,860,1,,False,,10030
698,861,1,,False,,10031
698,862,1,,False,,10032
698,863,1,,False,,10033
698,864,1,,False,,10034
698,865,1,,False,,10035
698,866,1,,False,,10036
698,867,1,,False,,10037
698,868,1,,False,,10038
698,869,1,,False,,10039
48,88,1,,False,,1004
698,870,1,,False,,10040
698,871,1,,False,,10041
698,872,1,,False,,10042
698,873,1,,False,,10043
698,874,1,,False,,10044
698,875,1,,False,,10045
698,876,1,,False,,10046
698,877,1,,False,,10047
698,878,1,,False,,10048
698,879,1,,False,,10049
48,119,1,,False,,1005
698,880,1,,False,,10050
698,881,1,,False,,10051
698,882,1,,False,,10052
698,883,1,,False,,10053
698,884,1,,False,,10054
698,885,1,,False,,10055
698,886,1,,False,,10056
698,887,1,,False,,10057
698,888,1,,False,,10058
698,889,1,,False,,10059
48,126,1,,False,,1006
698,890,1,,False,,10060
698,891,1,,False,,10061
698,892,1,,False,,10062
698,893,1,,False,,10063
698,894,1,,False,,10064
698,895,1,,False,,10065
698,3437,1,,False,,10066
699,833,1,,False,,10067
700,745,1,,False,,10068
700,784,1,,False,,10069
48,130,1,,False,,1007
700,794,1,,False,,10070
700,795,1,,False,,10071
700,815,1,,False,,10072
701,713,1,,False,,10073
701,724,1,,False,,10074
701,726,1,,False,,10075
701,747,1,,False,,10076
701,754,1,,False,,10077
701,760,1,,False,,10078
701,774,1,,False,,10079
48,180,1,,False,,1008
701,777,1,,False,,10080
701,778,1,,False,,10081
701,780,1,,False,,10082
701,781,1,,False,,10083
701,794,1,,False,,10084
701,821,1,,False,,10085
701,830,1,,False,,10086
701,834,1,,False,,10087
701,842,1,,False,,10088
701,845,1,,False,,10089
48,199,1,,False,,1009
702,714,1,,False,,10090
702,725,1,,False,,10091
702,732,1,,False,,10092
702,789,1,,False,,10093
702,822,1,,False,,10094
702,839,1,,False,,10095
703,705,1,,False,,10096
703,709,1,,False,,10097
703,718,1,,False,,10098
703,719,1,,False,,10099
0,102,1,,False,,101
48,203,1,,False,,1010
703,728,1,,False,,10100
703,730,1,,False,,10101
703,739,1,,False,,10102
703,741,1,,False,,10103
703,747,1,,False,,10104
703,748,1,,False,,10105
703,754,1,,False,,10106
703,758,1,,False,,10107
703,759,1,,False,,10108
703,764,1,,False,,10109
48,271,1,,False,,1011
703,765,1,,False,,10110
703,779,1,,False,,10111
703,781,1,,False,,10112
703,787,1,,False,,10113
703,792,1,,False,,10114
703,793,1,,False,,10115
703,797,1,,False,,10116
703,805,1,,False,,10117
703,807,1,,False,,10118
703,809,1,,False,,10119
48,299,1,,False,,1012
703,815,1,,False,,10120
703,817,1,,False,,10121
703,819,1,,False,,10122
703,820,1,,False,,10123
703,823,1,,False,,10124
703,824,1,,False,,10125
703,827,1,,False,,10126
703,828,1,,False,,10127
703,831,1,,False,,10128
703,835,1,,False,,10129
48,302,1,,False,,1013
703,838,1,,False,,10130
703,843,1,,False,,10131
703,845,1,,False,,10132
703,856,1,,False,,10133
703,880,1,,False,,10134
704,770,1,,False,,10135
704,777,1,,False,,10136
704,799,1,,False,,10137
704,848,1,,False,,10138
705,706,1,,False,,10139
48,320,1,,False,,1014
705,713,1,,False,,10140
705,715,1,,False,,10141
705,718,1,,False,,10142
705,719,1,,False,,10143
705,720,1,,False,,10144
705,722,1,,False,,10145
705,724,1,,False,,10146
705,726,1,,False,,10147
705,728,1,,False,,10148
705,731,1,,False,,10149
48,322,1,,False,,1015
705,737,1,,False,,10150
705,738,1,,False,,10151
705,739,1,,False,,10152
705,741,1,,False,,10153
705,745,1,,False,,10154
705,747,1,,False,,10155
705,748,1,,False,,10156
705,752,1,,False,,10157
705,754,1,,False,,10158
705,755,1,,False,,10159
48,330,1,,False,,1016
705,758,1,,False,,10160
705,759,1,,False,,10161
705,760,1,,False,,10162
705,761,1,,False,,10163
705,762,1,,False,,10164
705,763,1,,False,,10165
705,764,1,,False,,10166
705,770,1,,False,,10167
705,772,1,,False,,10168
705,773,1,,False,,10169
48,332,1,,False,,1017
705,778,1,,False,,10170
705,780,1,,False,,10171
705,781,1,,False,,10172
705,784,1,,False,,10173
705,787,1,,False,,10174
705,799,1,,False,,10175
705,800,1,,False,,10176
705,803,1,,False,,10177
705,805,1,,False,,10178
705,807,1,,False,,10179
49,192,1,,False,,1018
705,808,1,,False,,10180
705,809,1,,False,,10181
705,810,1,,False,,10182
705,814,1,,False,,10183
705,819,1,,False,,10184
705,820,1,,False,,10185
705,823,1,,False,,10186
705,824,1,,False,,10187
705,827,1,,False,,10188
705,828,1,,False,,10189
49,241,1,,False,,1019
705,829,1,,False,,10190
705,830,1,,False,,10191
705,831,1,,False,,10192
705,834,1,,False,,10193
705,835,1,,False,,10194
705,836,1,,False,,10195
705,842,1,,False,,10196
705,843,1,,False,,10197
705,844,1,,False,,10198
705,845,1,,False,,10199
0,103,1,,False,,102
49,255,1,,False,,1020
705,847,1,,False,,10200
705,849,1,,False,,10201
705,853,1,,False,,10202
706,713,1,,False,,10203
706,719,1,,False,,10204
706,731,1,,False,,10205
706,745,1,,False,,10206
706,752,1,,False,,10207
706,773,1,,False,,10208
706,784,1,,False,,10209
50,109,1,,False,,1021
706,805,1,,False,,10210
706,810,1,,False,,10211
706,815,1,,False,,10212
706,828,1,,False,,10213
706,834,1,,False,,10214
706,847,1,,False,,10215
706,853,1,,False,,10216
707,712,1,,False,,10217
707,714,1,,False,,10218
707,736,1,,False,,10219
50,113,1,,False,,1022
707,742,1,,False,,10220
707,746,1,,False,,10221
707,767,1,,False,,10222
707,768,1,,False,,10223
707,816,1,,False,,10224
707,833,1,,False,,10225
708,713,1,,False,,10226
708,719,1,,False,,10227
708,724,1,,False,,10228
708,730,1,,False,,10229
50,119,1,,False,,1023
708,747,1,,False,,10230
708,753,1,,False,,10231
708,755,1,,False,,10232
708,760,1,,False,,10233
708,769,1,,False,,10234
708,774,1,,False,,10235
708,781,1,,False,,10236
708,797,1,,False,,10237
708,800,1,,False,,10238
708,811,1,,False,,10239
50,146,1,,False,,1024
708,814,1,,False,,10240
708,819,1,,False,,10241
708,823,1,,False,,10242
708,824,1,,False,,10243
708,827,1,,False,,10244
708,828,1,,False,,10245
708,830,1,,False,,10246
708,840,1,,False,,10247
708,849,1,,False,,10248
708,856,1,,False,,10249
50,148,1,,False,,1025
708,869,1,,False,,10250
708,890,1,,False,,10251
709,739,1,,False,,10252
709,754,1,,False,,10253
709,777,1,,False,,10254
709,805,1,,False,,10255
709,819,1,,False,,10256
709,823,1,,False,,10257
709,824,1,,False,,10258
709,828,1,,False,,10259
50,203,1,,False,,1026
709,830,1,,False,,10260
709,835,1,,False,,10261
709,838,1,,False,,10262
709,840,1,,False,,10263
709,843,1,,False,,10264
709,848,1,,False,,10265
710,711,1,,False,,10266
710,803,1,,False,,10267
710,805,1,,False,,10268
710,810,1,,False,,10269
50,277,1,,False,,1027
710,847,1,,False,,10270
710,853,1,,False,,10271
711,722,1,,False,,10272
711,724,1,,False,,10273
711,727,1,,False,,10274
711,738,1,,False,,10275
711,745,1,,False,,10276
711,752,1,,False,,10277
711,766,1,,False,,10278
711,784,1,,False,,10279
50,314,1,,False,,1028
711,795,1,,False,,10280
711,810,1,,False,,10281
711,828,1,,False,,10282
711,829,1,,False,,10283
711,842,1,,False,,10284
711,847,1,,False,,10285
711,853,1,,False,,10286
712,714,1,,False,,10287
712,736,1,,False,,10288
712,742,1,,False,,10289
50,331,1,,False,,1029
712,767,1,,False,,10290
712,768,1,,False,,10291
712,782,1,,False,,10292
712,789,1,,False,,10293
712,816,1,,False,,10294
712,822,1,,False,,10295
712,839,1,,False,,10296
713,719,1,,False,,10297
713,721,1,,False,,10298
713,722,1,,False,,10299
0,104,1,,False,,103
50,334,1,,False,,1030
713,724,1,,False,,10300
713,726,1,,False,,10301
713,731,1,,False,,10302
713,734,1,,False,,10303
713,736,1,,False,,10304
713,738,1,,False,,10305
713,742,1,,False,,10306
713,745,1,,False,,10307
713,746,1,,False,,10308
713,747,1,,False,,10309
51,83,1,,False,,1031
713,748,1,,False,,10310
713,751,1,,False,,10311
713,752,1,,False,,10312
713,760,1,,False,,10313
713,762,1,,False,,10314
713,766,1,,False,,10315
713,772,1,,False,,10316
713,773,1,,False,,10317
713,774,1,,False,,10318
713,777,1,,False,,10319
51,84,1,,False,,1032
713,778,1,,False,,10320
713,780,1,,False,,10321
713,781,1,,False,,10322
713,782,1,,False,,10323
713,784,1,,False,,10324
713,787,1,,False,,10325
713,794,1,,False,,10326
713,800,1,,False,,10327
713,805,1,,False,,10328
713,810,1,,False,,10329
51,237,1,,False,,1033
713,813,1,,False,,10330
713,814,1,,False,,10331
713,815,1,,False,,10332
713,816,1,,False,,10333
713,817,1,,False,,10334
713,818,1,,False,,10335
713,819,1,,False,,10336
713,823,1,,False,,10337
713,824,1,,False,,10338
713,827,1,,False,,10339
52,192,1,,False,,1034
713,828,1,,False,,10340
713,829,1,,False,,10341
713,830,1,,False,,10342
713,831,1,,False,,10343
713,833,1,,False,,10344
713,834,1,,False,,10345
713,840,1,,False,,10346
713,842,1,,False,,10347
713,844,1,,False,,10348
713,845,1,,False,,10349
53,54,1,,False,,1035
713,847,1,,False,,10350
713,848,1,,False,,10351
713,850,1,,False,,10352
713,851,1,,False,,10353
713,853,1,,False,,10354
714,725,1,,False,,10355
714,732,1,,False,,10356
714,767,1,,False,,10357
714,771,1,,False,,10358
714,789,1,,False,,10359
53,88,1,,False,,1036
714,806,1,,False,,10360
714,818,1,,False,,10361
714,822,1,,False,,10362
714,839,1,,False,,10363
715,738,1,,False,,10364
715,745,1,,False,,10365
715,781,1,,False,,10366
715,805,1,,False,,10367
715,814,1,,False,,10368
715,827,1,,False,,10369
53,92,1,,False,,1037
715,834,1,,False,,10370
715,842,1,,False,,10371
716,718,1,,False,,10372
