"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","CommonName","Degree","degree.layout","Eccentricity","EnzymeCounts","GeneObjects","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","ReactionCounts","selected","SelfLoops","shared name","Stress","SuperPathway","TopologicalCoefficient"
"239","6.30337079","0.00609249","0.15864528","0.6","thiazole biosynthesis I (E. coli)","6","6","14","4","XC_1015; XC_1344; XC_1347; XC_1678","false","PWY-6892","6.8","6","0","1","0.73483146","6","false","0","PWY-6892","2112","false","0.37777778"
"240","8.20786517","0.01123596","0.12183436","0.0","hydroxymethylpyrimidine salvage","2","2","16","1","XC_2499","false","PWY-6910","2.5","2","0","0","0.63960674","2","false","0","PWY-6910","1438","false","0.5"
"241","9.20224719","0.0","0.10866911","0.0","thiamin salvage II","1","1","17","3","XC_0895; XC_2499; XC_3535","false","PWY-6897","2.0","1","0","0","0.58988764","4","false","0","PWY-6897","0","true","0.0"
"253","8.48876404","0.11239129","0.11780278","0.3","superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)","7","7","16","9","XC_0222; XC_0429; XC_0809; XC_3225; XC_3227; XC_3229; XC_3652; XC_4087; XC_4096","false","PWY-6284","3.6","7","0","1","0.6255618","3","false","0","PWY-6284","32766","true","0.30909091"
"254","9.39325843","0.08681944","0.10645933","0.2","CDP-diacylglycerol biosynthesis II","7","7","17","4","XC_0214; XC_0518; XC_2870; XC_4220","false","PWY0-1319","3.4","7","0","1","0.58033708","4","false","0","PWY0-1319","27050","false","0.33333333"
"256","9.47752809","0.0","0.10551274","1.0","<i>cis</i>-vaccenate biosynthesis","3","3","17","1","XC_0429","false","PWY-5973","4.0","3","0","1","0.5761236","5","false","0","PWY-5973","0","false","0.8"
"257","9.47191011","3.174E-5","0.10557533","0.66666667","palmitoleate biosynthesis I","5","5","17","8","XC_0222; XC_0429; XC_0809; XC_3225; XC_3227; XC_3229; XC_3652; XC_4087","false","PWY-6282","3.33333333","5","0","2","0.57640449","9","false","0","PWY-6282","2","false","0.66666667"
"258","8.54494382","0.00526884","0.11702827","0.66666667","<i>cis</i>-dodecenoyl biosynthesis","5","5","16","4","XC_0429; XC_0809; XC_3227; XC_4096","false","PWY0-862","4.33333333","5","0","2","0.62275281","6","false","0","PWY0-862","1922","false","0.54166667"
"261","8.61797753","0.0","0.11603651","0.0","stearate biosynthesis II (bacteria and plants)","2","2","16","7","XC_0222; XC_0429; XC_3225; XC_3229; XC_3652; XC_4087; XC_4096","false","PWY-5989","5.0","2","0","1","0.61910112","5","false","0","PWY-5989","0","false","0.0"
"263","10.33707865","0.01096088","0.09673913","0.66666667","phospholipid biosynthesis I","4","4","18","16","XC_0014; XC_0186; XC_0214; XC_0300; XC_0516; XC_0518; XC_1408; XC_1563; XC_1957; XC_2001; XC_2454; XC_2870; XC_3594; XC_4117; XC_4220; XC_4263","false","PHOSLIPSYN-PWY","4.25","4","0","0","0.53314607","4","false","0","PHOSLIPSYN-PWY","5806","true","0.47222222"
