"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"460","356.0","interact_with","PWY-6502 (interact_with) PWY-6125","false","interact_with","PWY-6502 (interact_with) PWY-6125"
"461","356.0","interact_with","PWY-6502 (interact_with) PWY-6125","false","interact_with","PWY-6502 (interact_with) PWY-6125"
"462","3699.25338346","interact_with","PWY-5913 (interact_with) HOMOSER-METSYN-PWY","false","interact_with","PWY-5913 (interact_with) HOMOSER-METSYN-PWY"
"463","2840.58671679","interact_with","PWY-5913 (interact_with) PYRUVDEHYD-PWY","false","interact_with","PWY-5913 (interact_with) PYRUVDEHYD-PWY"
"464","708.0","OUTGOING","PWY-5913 (OUTGOING) PROLINE-SYN","false","OUTGOING","PWY-5913 (OUTGOING) PROLINE-SYN"
"465","356.0","OUTGOING","PWY-5913 (OUTGOING) ARGININE-SYN","false","OUTGOING","PWY-5913 (OUTGOING) ARGININE-SYN"
"466","356.0","interact_with","PWY-5913 (interact_with) ISOLEUCINE-SYN","false","interact_with","PWY-5913 (interact_with) ISOLEUCINE-SYN"
"467","356.0","interact_with","PWY-5913 (interact_with) THREONINE-BIOSYNTHESIS","false","interact_with","PWY-5913 (interact_with) THREONINE-BIOSYNTHESIS"
"468","356.0","interact_with","PWY-5913 (interact_with) LYSINE-SYN","false","interact_with","PWY-5913 (interact_with) LYSINE-SYN"
"469","356.0","interact_with","PWY-5913 (interact_with) METHIONINE-SYN","false","interact_with","PWY-5913 (interact_with) METHIONINE-SYN"
"470","2880.67719298","interact_with","OXIDATIVEPENT-PWY (interact_with) ENTNER-DOUDOROFF-PWY","false","interact_with","OXIDATIVEPENT-PWY (interact_with) ENTNER-DOUDOROFF-PWY"
"471","3010.30100251","interact_with","OXIDATIVEPENT-PWY (interact_with) NONOXIPENT-PWY","false","interact_with","OXIDATIVEPENT-PWY (interact_with) NONOXIPENT-PWY"
"472","2.0","interact_with","PWY-5676 (interact_with) ETOH-ACETYLCOA-ANA-PWY","false","interact_with","PWY-5676 (interact_with) ETOH-ACETYLCOA-ANA-PWY"
"473","10.0","Contains","ANAEROFRUCAT-PWY (Contains) PWY-5484","false","Contains","ANAEROFRUCAT-PWY (Contains) PWY-5484"
"474","2.0","interact_with","PWY-6943 (interact_with) PWY-6944","false","interact_with","PWY-6943 (interact_with) PWY-6944"
"475","2.0","Contains","PWY-6937 (Contains) PWY-6943","false","Contains","PWY-6937 (Contains) PWY-6943"
"476","2.0","Contains","PWY-6937 (Contains) PWY-6944","false","Contains","PWY-6937 (Contains) PWY-6944"
"477","460.15854978","interact_with","PWY-6932 (interact_with) CYSTSYN-PWY","false","interact_with","PWY-6932 (interact_with) CYSTSYN-PWY"
"478","116.15854978","OUTGOING","PWY-6932 (OUTGOING) PWY-5340","false","OUTGOING","PWY-6932 (OUTGOING) PWY-5340"
"479","356.0","interact_with","PWY-7179 (interact_with) NONOXIPENT-PWY","false","interact_with","PWY-7179 (interact_with) NONOXIPENT-PWY"
"480","356.0","interact_with","PWY0-1296 (interact_with) NONOXIPENT-PWY","false","interact_with","PWY0-1296 (interact_with) NONOXIPENT-PWY"
"481","4.0","interact_with","FAO-PWY (interact_with) TCA-VARIANTS","false","interact_with","FAO-PWY (interact_with) TCA-VARIANTS"
"482","4.0","INCOMING","PWY0-1337 (INCOMING) FAO-PWY","false","INCOMING","PWY0-1337 (INCOMING) FAO-PWY"
"483","4.0","interact_with","PWY0-1337 (interact_with) FAO-PWY","false","interact_with","PWY0-1337 (interact_with) FAO-PWY"
"484","495.40714286","interact_with","XYLCAT-PWY (interact_with) NONOXIPENT-PWY","false","interact_with","XYLCAT-PWY (interact_with) NONOXIPENT-PWY"
"485","212.59285714","Contains","PWY-6901 (Contains) PENTOSE-P-PWY","false","Contains","PWY-6901 (Contains) PENTOSE-P-PWY"
"486","147.40714286","Contains","PWY-6901 (Contains) XYLCAT-PWY","false","Contains","PWY-6901 (Contains) XYLCAT-PWY"
"487","356.0","interact_with","PWY-6986 (interact_with) ENTNER-DOUDOROFF-PWY","false","interact_with","PWY-6986 (interact_with) ENTNER-DOUDOROFF-PWY"
"488","648.77380952","Contains","PENTOSE-P-PWY (Contains) NONOXIPENT-PWY","false","Contains","PENTOSE-P-PWY (Contains) NONOXIPENT-PWY"
"489","67.57619048","Contains","PENTOSE-P-PWY (Contains) OXIDATIVEPENT-PWY","false","Contains","PENTOSE-P-PWY (Contains) OXIDATIVEPENT-PWY"
"490","192.24285714","interact_with","GLUCONSUPER-PWY (interact_with) ENTNER-DOUDOROFF-PWY","false","interact_with","GLUCONSUPER-PWY (interact_with) ENTNER-DOUDOROFF-PWY"
"491","288.90952381","interact_with","GLUCONSUPER-PWY (interact_with) PENTOSE-P-PWY","false","interact_with","GLUCONSUPER-PWY (interact_with) PENTOSE-P-PWY"
"492","708.0","INCOMING","GLYOXYLATE-BYPASS (INCOMING) PYRUVDEHYD-PWY","false","INCOMING","GLYOXYLATE-BYPASS (INCOMING) PYRUVDEHYD-PWY"
"493","356.0","interact_with","PWY-1622 (interact_with) GLYOXYLATE-BYPASS","false","interact_with","PWY-1622 (interact_with) GLYOXYLATE-BYPASS"
"494","356.0","interact_with","PWY-1622 (interact_with) GLYOXYLATE-BYPASS","false","interact_with","PWY-1622 (interact_with) GLYOXYLATE-BYPASS"
