"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","CommonName","Degree","degree.layout","Eccentricity","EnzymeCounts","GeneObjects","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","ReactionCounts","selected","SelfLoops","shared name","Stress","SuperPathway","TopologicalCoefficient"
"72","0.0","0.0","0.0","0.0","phenylmercury acetate degradation","0",,"0","1","XC_3979","true","P641-PWY","0.0","0","0","0","9.223372036854776E10","2","false","0","P641-PWY","0","false","0.0"
"73","0.0","0.0","0.0","0.0","arsenate detoxification II (glutaredoxin)","0",,"0","1","XC_3548","true","PWY-4621","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY-4621","0","false","0.0"
"74","0.0","0.0","0.0","0.0","arginine dependent acid resistance","0",,"0","1","XC_3953","true","PWY0-1299","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY0-1299","0","false","0.0"
"75","7.09550562","0.0","0.14093428","0.0","oxidized GTP and dGTP detoxification","2","2","15","2","XC_1955; XC_2220","false","PWY-6502","11.0","2","0","1","0.69522472","4","false","0","PWY-6502","0","false","0.0"
"76","0.0","0.0","0.0","0.0","superoxide radicals degradation","0",,"0","8","XC_0201; XC_0407; XC_1615; XC_1837; XC_3037; XC_3139; XC_3993; XC_4037","true","DETOX1-PWY","0.0","0","0","0","9.223372036854776E10","2","false","0","DETOX1-PWY","0","false","0.0"
"77","0.0","0.0","0.0","0.0","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","0",,"0","13","XC_0247; XC_0248; XC_0944; XC_1063; XC_1064; XC_1985; XC_2326; XC_2329; XC_2742; XC_2822; XC_3213; XC_3307; XC_3854","true","PWY-6969","0.0","0","0","0","9.223372036854776E10","12","false","0","PWY-6969","0","false","0.0"
"78","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","ARGININE-SYN","8.0","1","0","0","0.69129213",,"false","0","ARGININE-SYN","0","false","0.0"
"79","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","ISOLEUCINE-SYN","8.0","1","0","0","0.69129213",,"false","0","ISOLEUCINE-SYN","0","false","0.0"
"80","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","THREONINE-BIOSYNTHESIS","8.0","1","0","0","0.69129213",,"false","0","THREONINE-BIOSYNTHESIS","0","false","0.0"
"81","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","LYSINE-SYN","8.0","1","0","0","0.69129213",,"false","0","LYSINE-SYN","0","false","0.0"
"82","7.1741573","0.0","0.13938919","0.0","","1","1","13",,"","false","METHIONINE-SYN","8.0","1","0","0","0.69129213",,"false","0","METHIONINE-SYN","0","false","0.0"
"83","6.17977528","0.13762204","0.16181818","0.0","TCA cycle VI (obligate autotrophs)","8","8","12","17","XC_0031; XC_0032; XC_0800; XC_0944; XC_1063; XC_1064; XC_1981; XC_1982; XC_1983; XC_2326; XC_2329; XC_2742; XC_2822; XC_3213; XC_3307; XC_3479; XC_3854","false","PWY-5913","2.25","8","0","0","0.74101124","11","false","0","PWY-5913","17068","false","0.125"
"84","0.0","0.0","0.0","0.0","respiration (anaerobic)","0",,"0","18","XC_0216; XC_0443; XC_0444; XC_0588; XC_0944; XC_0978; XC_1452; XC_1983; XC_2326; XC_2329; XC_2371; XC_2531; XC_2742; XC_2822; XC_3213; XC_3307; XC_3479; XC_3854","true","ANARESP1-PWY","0.0","0","0","0","9.223372036854776E10","13","false","0","ANARESP1-PWY","0","false","0.0"
"85","0.0","0.0","0.0","0.0","aerobic respiration (cytochrome c)","0",,"0","24","XC_1589; XC_1590; XC_1591; XC_1592; XC_1593; XC_1594; XC_1595; XC_1596; XC_1597; XC_1598; XC_1599; XC_1600; XC_1601; XC_1602; XC_1792; XC_1793; XC_1794; XC_1981; XC_1982; XC_1983; XC_3841; XC_3901; XC_3904; XC_3905","true","PWY-3781","0.0","0","0","0","9.223372036854776E10","4","false","0","PWY-3781","0","false","0.0"
"86","0.0","0.0","0.0","0.0","photosynthesis light reactions","0",,"0","1","XC_2824","true","PWY-101","0.0","0","0","0","9.223372036854776E10","4","false","0","PWY-101","0","false","0.0"
"87","0.0","0.0","0.0","0.0","pentose phosphate pathway (partial)","0",,"0","2","XC_0469; XC_0929","true","P21-PWY","0.0","0","0","0","9.223372036854776E10","3","false","0","P21-PWY","0","false","0.0"
"88","5.9494382","0.0889125","0.1680831","0.33333333","pentose phosphate pathway (oxidative branch)","4","4","14","4","XC_0725; XC_1975; XC_1977; XC_4082","false","OXIDATIVEPENT-PWY","7.0","4","0","1","0.75252809","4","false","0","OXIDATIVEPENT-PWY","6610","false","0.39215686"
"89","0.0","0.0","0.0","0.0","hydrogen production V","0",,"0","1","XC_1762","true","PWY-6772","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY-6772","0","false","0.0"
"90","0.0","0.0","0.0","0.0","glycolysis III (glucokinase)","0",,"0","13","XC_0872; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1976; XC_2371; XC_2531; XC_3287; XC_3488","true","ANAGLYCOLYSIS-PWY","0.0","0","0","0","9.223372036854776E10","10","false","0","ANAGLYCOLYSIS-PWY","0","false","0.0"
"91","1.0","0.0","1.0","0.0","acetyl-CoA fermentation to butyrate II","1","1","1","5","XC_0204; XC_2206; XC_2700; XC_2943; XC_3607","false","PWY-5676","1.0","1","0","0","1.0","5","false","0","PWY-5676","0","false","0.0"
"92","2.2","0.0","0.45454545","0.0","homolactic fermentation","1","1","3","15","XC_0098; XC_0872; XC_0976; XC_0978; XC_0979; XC_1166; XC_1223; XC_1404; XC_1587; XC_1952; XC_1976; XC_2371; XC_2531; XC_3287; XC_3488","false","ANAEROFRUCAT-PWY","3.0","1","0","0","0.6","3","false","0","ANAEROFRUCAT-PWY","0","true","0.0"
"93","2.2","0.0","0.45454545","0.0","mixed acid fermentation","1","1","3","22","XC_0029; XC_0686; XC_0775; XC_0821; XC_0944; XC_0978; XC_1384; XC_1452; XC_1983; XC_2326; XC_2329; XC_2445; XC_2742; XC_2822; XC_3029; XC_3106; XC_3213; XC_3307; XC_3421; XC_3479; XC_3526; XC_3854","false","FERMENTATION-PWY","3.0","1","0","0","0.6","16","false","0","FERMENTATION-PWY","0","false","0.0"
"94","0.0","0.0","0.0","0.0","succinate to cytochrome <i>bo</i> oxidase electron transfer","0",,"0","7","XC_1981; XC_1982; XC_1983; XC_3081; XC_3082; XC_3083; XC_3084","true","PWY0-1329","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY0-1329","0","false","0.0"
"95","0.0","0.0","0.0","0.0","NADH to cytochrome <i>bo</i> oxidase electron transfer","0",,"0","19","XC_1589; XC_1590; XC_1591; XC_1592; XC_1593; XC_1594; XC_1595; XC_1596; XC_1597; XC_1598; XC_1599; XC_1600; XC_1601; XC_1602; XC_3081; XC_3082; XC_3083; XC_3084; XC_3841","true","PWY0-1335","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY0-1335","0","false","0.0"
"96","0.0","0.0","0.0","0.0","NADH to cytochrome <i>bd</i> oxidase electron transfer","0",,"0","19","XC_1454; XC_1455; XC_1589; XC_1590; XC_1591; XC_1592; XC_1593; XC_1594; XC_1595; XC_1596; XC_1597; XC_1598; XC_1599; XC_1600; XC_1601; XC_1602; XC_1884; XC_1885; XC_3841","true","PWY0-1334","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY0-1334","0","false","0.0"
"97","0.0","0.0","0.0","0.0","succinate to cytochrome <i>bd</i> oxidase electron transfer","0",,"0","7","XC_1454; XC_1455; XC_1884; XC_1885; XC_1981; XC_1982; XC_1983","true","PWY0-1353","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY0-1353","0","false","0.0"
"98","0.0","0.0","0.0","0.0","pyruvate oxidation pathway","0",,"0","2","XC_0216; XC_0588","true","PYRUVOX-PWY","0.0","0","0","0","9.223372036854776E10","1","false","0","PYRUVOX-PWY","0","false","0.0"
"99","0.0","0.0","0.0","0.0","glycerol degradation to butanol","0",,"0","11","XC_0204; XC_0976; XC_0978; XC_1404; XC_1587; XC_2206; XC_2371; XC_2531; XC_2943; XC_3287; XC_3488","true","PWY-7003","0.0","0","0","0","9.223372036854776E10","11","false","0","PWY-7003","0","false","0.0"
"100","1.0","0.0","1.0","1.0","testosterone and androsterone degradation to androstendione","2","2","1","3","XC_0365; XC_1990; XC_3707","false","PWY-6943","2.0","2","0","0","1.0","3","false","0","PWY-6943","0","false","1.0"
"101","1.0","0.0","1.0","1.0","androstenedione degradation","2","2","1","4","XC_0307; XC_2205; XC_2358; XC_2975","false","PWY-6944","2.0","2","0","0","1.0","15","false","0","PWY-6944","0","false","1.0"
"102","1.0","0.0","1.0","1.0","superpathway of testosterone and androsterone degradation","2","2","1","7","XC_0307; XC_0365; XC_1990; XC_2205; XC_2358; XC_2975; XC_3707","false","PWY-6937","2.0","2","0","0","1.0","2","false","0","PWY-6937","0","true","1.0"
"103","0.0","0.0","0.0","0.0","wound-induced proteolysis I","0",,"0","10","XC_0602; XC_0643; XC_0676; XC_0905; XC_0997; XC_1007; XC_1008; XC_3192; XC_3585; XC_3992","true","PWY-5988","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY-5988","0","false","0.0"
"104","0.0","0.0","0.0","0.0","seed germination protein turnover","0",,"0","10","XC_0602; XC_0643; XC_0676; XC_0905; XC_0997; XC_1007; XC_1008; XC_3192; XC_3585; XC_3992","true","PWY-6018","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY-6018","0","false","0.0"
"105","0.0","0.0","0.0","0.0","nicotine degradation II","0",,"0","0","","true","PWY-6993","0.0","0","0","0","9.223372036854776E10","11","false","0","PWY-6993","0","false","0.0"
"106","0.0","0.0","0.0","0.0","acrylonitrile degradation","0",,"0","3","XC_0302; XC_1277; XC_3311","true","P344-PWY","0.0","0","0","0","9.223372036854776E10","3","false","0","P344-PWY","0","false","0.0"
"107","0.0","0.0","0.0","0.0","alkylnitronates degradation","0",,"0","2","XC_2177; XC_3045","true","PWY-723","0.0","0","0","0","9.223372036854776E10","2","false","0","PWY-723","0","false","0.0"
"108","0.0","0.0","0.0","0.0","thiosulfate disproportionation III (rhodanese)","0",,"0","1","XC_2697","true","PWY-5350","0.0","0","0","0","9.223372036854776E10","1","false","0","PWY-5350","0","false","0.0"
