G:\pixelArtist\src\framework\gr\network-visualization\Datavisualization.Network\network_graph-netcore5.vbproj : warning NU1510: PackageReference System.Drawing.Primitives will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\gr\network-visualization\Datavisualization.Network\network_graph-netcore5.vbproj::TargetFramework=net10.0]
G:\pixelArtist\src\framework\gr\physics\physics-netcore5.vbproj : warning NU1510: PackageReference System.Drawing.Primitives will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\gr\physics\physics-netcore5.vbproj::TargetFramework=net10.0]
G:\pixelArtist\src\framework\Data_science\Graph\graph-netcore5.vbproj : warning NU1510: PackageReference System.Drawing.Primitives will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Data_science\Graph\graph-netcore5.vbproj::TargetFramework=net10.0]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Drawing.Primitives will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Reflection.Emit will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Text.Encodings.Web will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Text.Encoding.CodePages will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Runtime will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Linq.Queryable will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Net.Http will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Net.WebHeaderCollection will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.IO.Compression will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Private.Uri will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
G:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj : warning NU1510: PackageReference System.Net.Requests will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary. [g:\pixelArtist\src\framework\Microsoft.VisualBasic.Core\src\Core.vbproj]
