proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
E:/GCModeller/src/runtime/sciBASIC#/CLI_tools/rundll32/rundll32.vbproj,Program.vb,106,3,17,86,1,0,0,3,0,4505,4.50 KB
E:/GCModeller/src/runtime/sciBASIC#/CLI_tools/rundll32/rundll32.vbproj,<project>,106,3,17,86,1,0,0,3,0,4505,4.50 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,BufferRegion.vb,50,15,8,27,1,4,3,1,0,1208,1.21 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,ByteBuffer.vb,370,35,42,293,1,0,7,46,0,11956,11.96 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,LZW.vb,229,43,47,139,3,0,4,6,0,8589,8.59 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,ByteOrder/ByteOrder.vb,20,11,4,5,1,0,0,0,0,484,484 B
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,ByteOrder/ByteOrderHelper.vb,61,9,8,44,1,1,1,4,0,2098,2.10 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,ByteOrder/NetworkByteOrderBitConvertor.vb,282,80,28,174,1,0,1,21,0,10936,10.94 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,Bzip2/BZip2InputStream.vb,236,43,44,149,1,5,6,4,0,9599,9.60 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,Bzip2/BZip2OutputStream.vb,196,31,33,132,1,5,9,2,0,8161,8.16 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,Bzip2/Algorithm/BZip2BitInputStream.vb,104,27,18,59,1,0,1,4,0,4001,4.00 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,Bzip2/Algorithm/BZip2BitOutputStream.vb,108,42,19,47,1,0,6,0,0,3735,3.73 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,Bzip2/Algorithm/BZip2BlockCompressor.vb,265,76,49,140,1,2,4,2,0,10234,10.23 KB
E:/GCModeller/src/runtime/sciBASIC#/Data/BinaryData/BinaryData/binarydata-netcore5.vbproj,Bzip2/Algorithm/BZip2BlockDecompressor.vb,403,131,84,188,1,0,3,5,0,19830,19.83 KB
