,D1,D2,D3,D4,label:species,label:cluster
sample_1,5.1,3.5,1.4,0.2,1,1
sample_2,4.9,3,1.4,0.2,1,1
sample_3,4.7,3.2,1.3,0.2,1,1
sample_4,4.6,3.1,1.5,0.2,1,1
sample_5,5,3.6,1.4,0.2,1,1
sample_6,5.4,3.9,1.7,0.4,1,1
sample_7,4.6,3.4,1.4,0.3,1,1
sample_8,5,3.4,1.5,0.2,1,1
sample_9,4.4,2.9,1.4,0.2,1,1
sample_10,4.9,3.1,1.5,0.1,1,1
sample_11,5.4,3.7,1.5,0.2,1,1
sample_12,4.8,3.4,1.6,0.2,1,1
sample_13,4.8,3,1.4,0.1,1,1
sample_14,4.3,3,1.1,0.1,1,1
sample_15,5.8,4,1.2,0.2,1,1
sample_16,5.7,4.4,1.5,0.4,1,1
sample_17,5.4,3.9,1.3,0.4,1,1
sample_18,5.1,3.5,1.4,0.3,1,1
sample_19,5.7,3.8,1.7,0.3,1,1
sample_20,5.1,3.8,1.5,0.3,1,1
sample_21,5.4,3.4,1.7,0.2,1,1
sample_22,5.1,3.7,1.5,0.4,1,1
sample_23,4.6,3.6,1,0.2,1,1
sample_24,5.1,3.3,1.7,0.5,1,1
sample_25,4.8,3.4,1.9,0.2,1,1
sample_26,5,3,1.6,0.2,1,1
sample_27,5,3.4,1.6,0.4,1,1
sample_28,5.2,3.5,1.5,0.2,1,1
sample_29,5.2,3.4,1.4,0.2,1,1
sample_30,4.7,3.2,1.6,0.2,1,1
sample_31,4.8,3.1,1.6,0.2,1,1
sample_32,5.4,3.4,1.5,0.4,1,1
sample_33,5.2,4.1,1.5,0.1,1,1
sample_34,5.5,4.2,1.4,0.2,1,1
sample_35,4.9,3.1,1.5,0.2,1,1
sample_36,5,3.2,1.2,0.2,1,1
sample_37,5.5,3.5,1.3,0.2,1,1
sample_38,4.9,3.6,1.4,0.1,1,1
sample_39,4.4,3,1.3,0.2,1,1
sample_40,5.1,3.4,1.5,0.2,1,1
sample_41,5,3.5,1.3,0.3,1,1
sample_42,4.5,2.3,1.3,0.3,1,1
sample_43,4.4,3.2,1.3,0.2,1,1
sample_44,5,3.5,1.6,0.6,1,1
sample_45,5.1,3.8,1.9,0.4,1,1
sample_46,4.8,3,1.4,0.3,1,1
sample_47,5.1,3.8,1.6,0.2,1,1
sample_48,4.6,3.2,1.4,0.2,1,1
sample_49,5.3,3.7,1.5,0.2,1,1
sample_50,5,3.3,1.4,0.2,1,1
sample_51,7,3.2,4.7,1.4,2,3
sample_52,6.4,3.2,4.5,1.5,2,3
sample_53,6.9,3.1,4.9,1.5,2,3
sample_54,5.5,2.3,4,1.3,2,3
sample_55,6.5,2.8,4.6,1.5,2,3
sample_56,5.7,2.8,4.5,1.3,2,3
sample_57,6.3,3.3,4.7,1.6,2,3
