,dim_1,dim_2,label:class
sample_1,1.749942996548322,-0.5360165446988049,5
sample_2,0.516953524868351,-7.025864657268054,0
sample_3,1.8045828938615287,5.048508761579184,4
sample_4,-5.928988253419284,-1.7628644648674763,1
sample_5,-0.36608055164497916,5.472497085029207,9
sample_6,2.7416524207524033,-5.68726585006306,2
sample_7,-5.016493791301732,2.398033117150884,1
sample_8,0.13068891822586415,-2.8132857486373655,3
sample_9,-5.386150464786842,2.1480211606978403,1
sample_10,-0.33608444672552756,7.121036467985399,4
sample_11,0.6228390582490556,-2.7040049367906436,3
sample_12,3.066057998327133,0.8496645955298295,5
sample_13,1.2628588582228244,-1.9348245487344469,3
sample_14,-2.6736659335420945,-5.55794942247725,6
sample_15,-5.6903554086558215,2.1924271617064806,1
sample_16,-2.386754828285188,5.7047009532961965,7
sample_17,2.4067880120583274,-5.192563961503966,2
sample_18,-1.4816788960378828,-0.8430469497251856,8
sample_19,-2.9180395376546753,-4.873819648151235,6
sample_20,-1.731993604408322,6.2568658515309465,9
sample_21,2.003812950348617,4.715569931684562,4
sample_22,0.6629146601248213,-7.29797640253135,0
sample_23,-1.2811649317666283,6.431509984490081,9
sample_24,-5.9657560592909205,-1.7369385973710925,1
sample_25,0.2145854663456391,-3.2253673564130074,1
sample_26,2.0481481936308965,-3.8529240580008026,2
sample_27,0.17802313941147824,5.3770940408973615,4
sample_28,0.5610293593524762,-2.4377879561010825,3
sample_29,-2.6507905680324186,4.991367099368934,2
sample_30,-2.419609064288995,6.202775876754742,7
sample_31,1.610280862604119,-1.9035446108671248,3
sample_32,-1.8502396850932985,-0.8874794789574293,8
sample_33,-3.2778911426125603,-5.572699902283095,6
sample_34,-1.833359027243378,6.3664452809297485,9
sample_35,0.352124956259676,-6.1069059472362035,0
sample_36,2.874754034214716,0.5679559301748297,5
sample_37,-3.2466089846592556,-4.9319716725585,6
sample_38,0.43098507557548654,-6.220735728399262,0
sample_39,-1.4503187686310464,3.8400619397267723,7
sample_40,-3.017039296041617,-5.545177660762741,6
sample_41,-5.51137573465345,1.1454994092608959,1
sample_42,-0.8789861237067272,-1.0090900425984124,8
sample_43,-1.9090637950092098,4.250657377569895,7
sample_44,-1.5908157695926828,6.163960407980199,9
sample_45,0.5359003801300308,-1.5208039712394965,3
sample_46,-0.7892337848811967,5.693805461877372,9
sample_47,-0.19423045295142005,-0.48853194280118933,8
sample_48,2.3848608487425524,0.5747581072281194,5
sample_49,0.5581067220717999,-1.29827283879881,9
sample_50,0.3929595887974612,-2.546009195387474,3
sample_51,1.2761256970398174,-2.8035038311881655,3
sample_52,0.02249772428072512,-7.541883881647985,0
sample_53,-1.4157356649449946,4.347885037738135,7
sample_54,-1.280254967548814,6.426248244844513,4
sample_55,-0.2501720967767284,5.872936698587756,9
sample_56,-1.191269996124386,-0.42855465479485366,8
sample_57,-0.5161307252413043,-7.879353214018808,0
sample_58,-1.2424150227305164,6.249010536643023,9
sample_59,1.3453004442071423,5.0155690811935925,4
sample_60,-6.121754772581524,-1.4910766307611887,1
sample_61,2.232436414498699,4.841927248952402,4
sample_62,-0.741265741366422,6.979226319447452,4
sample_63,-2.90689855659246,-4.772809517545801,6
sample_64,0.5179343157540574,-7.28084408387039,0
sample_65,1.190429381984026,6.075708127202894,4
sample_66,3.1225793673944473,0.9135351938204066,5
sample_67,-2.6044691975536485,-4.8533712706284176,6
sample_68,-6.014080159707044,-0.239964983889168,1
sample_69,-0.4805575710374025,-8.210045903956873,0
sample_70,-0.22119952296037412,-6.422308930641837,0
sample_71,-5.500987840146311,1.6670020322188162,1
sample_72,-2.41039569228303,5.916168153620818,7
sample_73,-5.960684581216831,1.614730866916249,1
sample_74,-2.9371444341914943,-5.301641877207294,6
sample_75,0.7172699364223795,-1.9160360753013854,3
sample_76,0.4190024040143358,-6.592364198494777,0
sample_77,2.5831214679831804,-3.788661673114172,2
sample_78,-6.1027970780704255,-0.9925018604410593,1
sample_79,-5.544831112044995,-0.750866625570335,1
sample_80,-2.4184214432390623,6.091083128839939,7
sample_81,-0.4195126914151256,-6.615307875049824,9
sample_82,0.3050783326293909,-6.425828448345223,0
sample_83,2.2593314264689783,-5.293714240089073,2
sample_84,-2.6223904008095196,-5.3886757519566935,6
sample_85,-1.7757560379699155,4.169856577022799,7
sample_86,-1.3056672113534715,-1.0355969370687415,8
sample_87,1.4533221689817466,-1.6742409486425767,3
sample_88,-1.0013870855553226,6.405608490324262,9
sample_89,-0.5622250649939107,-7.765572258397758,0
sample_90,-0.04082533250930114,7.210616397905493,4
sample_91,-2.6766445337451357,-5.6196311831386705,6
sample_92,-2.235522821428164,5.5587377297022975,7
sample_93,1.22548884536225,5.106911150935587,4
sample_94,-2.787628600395717,-5.383790942476879,6
sample_95,-1.096304812723711,-0.5634754410104674,8
sample_96,0.08429827957243295,-6.493788192096251,0
sample_97,-2.1593483809252785,4.613763249876189,7
sample_98,-1.2268976704963777,-0.7183960870526276,8
sample_99,0.8021680107907279,-1.9963435716897366,3
sample_100,-5.885117209843491,-1.06128496011358,1
sample_101,1.3818991238878149,0.25672244430333774,5
sample_102,-1.6990055115947422,5.111707641312162,7
sample_103,-5.901737383207853,1.8106737536863828,1
sample_104,-2.1689946707353065,5.153876019111992,7
sample_105,-5.120221041523793,2.6513577016789625,1
sample_106,-5.950976968182495,-0.6922210275639676,1
sample_107,-2.935478398531028,-5.485417164207903,6
sample_108,0.38523412902240695,-3.1138618386873285,3
sample_109,-0.4936624817613768,-8.195412848165407,0
sample_110,3.4516030524536347,-4.786281337444316,2
sample_111,1.2448329631200314,4.415940587962736,9
sample_112,0.6799925734238439,-2.0912341151534353,3
sample_113,-5.454242411568918,1.2932593165735244,1
sample_114,-6.10630858060269,-1.3686623884708473,1
sample_115,0.15940459879880783,-8.22057776739928,0
sample_116,-0.0992170123529528,6.937168085124807,4
sample_117,0.13652059259586607,5.247962530557537,9
sample_118,2.7714927222467978,-4.459620210001362,2
sample_119,-0.36359718006338115,-7.144216560335219,0
sample_120,0.8081758939079496,-7.34853041362837,0
sample_121,2.0186938589244554,-4.497836689731108,2
sample_122,-0.2246941325591089,-8.104098571965414,0
sample_123,2.60087000706465,-4.572359505280228,2
sample_124,-2.5863640160395294,5.8217960814476175,7
sample_125,-6.090402081074894,0.9499116597162616,1
sample_126,-0.9409017655823754,-1.169427955646621,8
sample_127,-2.9571495551220535,-5.308245786918199,6
sample_128,-0.31150891736692216,7.204288181149821,4
sample_129,-5.228012519198917,1.1658620737761487,1
sample_130,-2.6235849551779906,-4.532535939175839,6
sample_131,0.44416020168731973,-2.0556764950500797,3
sample_132,-0.37894638806313047,7.124936877120928,4
sample_133,-4.948870083931502,1.763145073894061,5
sample_134,-1.0394760749855592,5.618288507109726,9
sample_135,-4.6720958378144966,2.698696782847739,1
sample_136,0.19060855435891713,-3.0670284239739942,3
sample_137,1.0207841596707168,-1.6593924450645496,3
sample_138,-1.4226025880315558,-0.9144144886476431,8
sample_139,1.8420532489326547,-1.544817051009662,5
sample_140,-0.19528446172618613,6.7870919711933055,4
sample_141,-2.8540456296758263,4.590652177249298,7
sample_142,-2.4656374888011188,6.172640777233309,7
sample_143,0.22924426959025787,6.360160704576511,4
sample_144,3.12383765049617,-4.740727583479252,2
sample_145,0.2108327576466736,-0.8310484151164651,8
sample_146,2.951172158364442,0.8475122854999655,5
sample_147,-1.4182853353673828,-0.6772000633687092,8
sample_148,-3.283361379078457,-5.212929905293601,6
sample_149,-0.738686436397809,5.901731621625602,7
sample_150,0.9526372163016158,-2.0632007110376716,3
sample_151,-0.2598418124753811,6.102500755526855,4
sample_152,-2.7833505992038807,-5.231072995147991,6
sample_153,-6.057576742134211,0.6777029861400372,1
sample_154,-1.560385284959885,6.226338687894881,9
sample_155,-0.5229307608223245,4.789385978466705,9
sample_156,-2.5480914046478764,-5.038789640012963,6
sample_157,0.532775430028471,-8.04544716675387,0
sample_158,0.18397272655475047,-3.214999600367086,3
sample_159,1.288266700572764,4.196009171048454,7
sample_160,2.971766726433313,-5.005815266637443,2
sample_161,-0.039996432558891695,-0.6737578257669788,8
