,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,label:cluster
There,-1.0375586074342824,-2.94936916304121,0.7056570318586352,-2.9004055500768904,2.3054654569715716,-1.479287897676258,1.7776969638698787,0.22565215068640235,0.9362906175989301,5
were,-0.9388941530928282,-2.1953140485588043,0.6930777957805637,-2.6151277591551567,2.0239181023935537,-1.626895893550637,2.0217880609434435,0.2815707171742351,2.1357419782595612,5
once,-0.5929089795230195,-1.9531000052092597,1.1736790583734098,-2.6413476469882706,1.5966512991803554,-1.2145856431931628,1.4022018284215354,0.5645159748529307,1.8300560020052425,9
a,-0.1839969638143874,-2.6605738369344114,1.2212722140499614,-3.4059375837268115,2.034683788949324,-1.6160164920269051,1.736468695236301,0.33659958873479356,1.9498228951502419,4
man,-0.6061012317109726,-2.2477563000888323,-0.021075204393772883,-3.772617215590261,1.3565086258276202,-1.585800878616301,2.11949079247841,-0.16768655833548848,1.4580376468794307,7
and,-1.0586986222824697,-2.390042838115691,0.5806118081600848,-2.962043422144534,1.6860632753908427,-0.9400056718868605,1.6057190442912344,-0.17502568685268366,0.5372705938961304,6
woman,-0.3584534608596668,-2.7442680677073623,0.9574194483014713,-3.2203983423424867,1.7198810516107077,-1.787523251811064,1.8375888078865557,0.3475702415213378,2.2216357025971063,4
who,-0.01796569563394502,-2.9394248068460214,0.5458723301089422,-3.190292884030231,1.3524847651426712,-1.7205843832057472,1.5609893536403319,0.15542079859949023,1.5342819296501033,7
had,-1.1956460696043578,-1.898438956505311,0.48759269239977027,-3.6163803609238343,1.2044378580913149,-0.9493496043240477,1.902583960385055,0.2191669143187853,1.251634855153727,3
long,-0.26053457841815875,-2.301708965167617,1.1045875951792858,-2.526854225796646,1.621157450003382,-1.4162825311608354,2.0134617566684443,0.5981054415019303,1.788559813474052,4
in,-0.777654556720459,-2.294822800072152,0.43887770705220414,-2.7308400977958316,1.2420105646656743,-1.0954237766366,1.185392734072204,0.4269702180150512,1.9916774604007192,4
vain,-0.5898970226131968,-2.118063382087492,0.5139912961705987,-3.313877212403909,2.0220348775563446,-0.8267079927288155,1.3815939705987552,0.3832418892422162,2.181869333818051,4
wished,-0.7829566174870005,-2.008690051445425,1.2973001391585934,-3.256875389642856,2.3961385047157306,-1.3297090961658367,2.3019454947028932,0.11246266052647681,1.1508381695948668,8
for,-0.6272145452447515,-1.8151745560261698,1.0186407305039715,-2.5072073221494806,1.2260791911418998,-1.273501867027615,0.9337997012979918,0.2680311420060605,1.7641557030325408,9
child,-1.3479396093214149,-1.864644915952417,0.5636839722836093,-3.4209994123776117,1.1543142275746445,-0.9046669007847071,1.8048213842920966,-0.07610669907031294,1.391472371599074,3
At,-0.2339330441773198,-2.552265414764589,0.6522913895515375,-3.16526206981216,1.9077516484115549,-0.701615460918698,1.0224151461480964,-0.09987817811504576,1.9246219949541856,1
length,-0.3116955565523209,-2.366111619205,-0.09011666776772452,-2.4332238683039833,1.503314989586375,-1.2767345071525456,1.5061272524538334,0.14130457039361455,1.4402591686956927,2
the,-0.572886877369894,-2.136454206946345,1.301417046406553,-2.272151244010335,1.4139283638216789,-1.229829020728196,1.515620244107734,0.20507964963250966,1.2021227029046369,9
hoped,-1.2046445944382937,-1.9964340524626236,1.0959064016064615,-3.7990083651226003,2.015142128859939,-1.5146267306986385,1.8962220021429543,0.1907246012768768,1.4691874073982567,8
that,-0.3880134950902413,-2.256842688075865,0.9025791086222736,-3.4169763711811254,1.3751387548367364,-1.8064252433709282,1.0323057282383021,-0.11772149421838168,1.193929539869021,9
God,-0.36261359265656307,-2.1472713438991855,0.18919396350139783,-3.6432481546212143,1.1360952250378893,-1.5943292118614278,1.190865232208045,0.3907065798405187,1.3117717122103256,7
was,-1.0586410179872872,-1.8527575701222891,0.20076802835569033,-3.0779734601094497,1.7561468530719677,-1.3988853482206205,1.443090590379496,-0.17397347739707922,0.4992519884760723,3
about,-0.1751786895613401,-2.1603148122815528,1.178498166558255,-2.830675227028464,1.248486381720283,-1.5320564726375263,1.6810066221410427,0.6953744026336526,1.4588834526203842,9
to,0.014426116212298959,-2.4078136090007467,0.4835752463316123,-2.8159083700497107,1.9467755891571692,-0.8430117152393315,1.113904694375179,0.02503807909194379,1.9392576117223344,1
grant,0.2855285421237802,-2.40241858901082,0.32766006891883565,-2.674238524645716,2.1935672527299577,-1.39343402907702,1.3017315159928629,0.03364441883387564,1.5102379015735183,2
